RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
60617-2016-09,Chicago,IL,1142.0,84882.0,35.7,38827.0,34.0,688.0,24.0,14960.0,935.0,1071.0,28362.0,46524.0,106.0,250.0,1510.0,977.0,1767.0,3489.0,1927.0,5783.0,18.0,0.4672,22974.0,688.0,79191.0,51145.0,24665.0,9635.0,0.5455691430456399,16972.0,19213.0,13968.0,0.1696309840425532,1.262747679091035,0.15695099818511796,0.33212341197822143,0.495264013571782,0.10236563700195564,0.0771777290827266,0.18413797978369967,0.16636345259753385,0.0008953606182700689,0.53947833462925,0.0029452651916778588,0.3734125020616856,0.20134301270417426,0.03288453014184397,0.1035437430786268,0.026130392780565958,0.0001443876519680037,770.0,2.0,3.0,0.0,0.0
97030-2016-09,Gresham,OR,1388.0,37265.0,34.2,43320.0,0.0,1574.0,298.0,470.0,268.0,434.0,30789.0,598.0,907.0,1402.0,1496.0,613.0,666.0,746.0,268.0,2544.0,51.0,0.4139,5656.0,616.0,34536.0,26172.0,5268.0,2899.0,0.4991278679726285,8388.0,7596.0,3693.0,0.1151815537118845,1.5468870369073464,0.28925245732022764,0.1660631143300569,0.5104790017442641,0.13634777941768414,0.04765866094190259,0.19688715953307392,0.049524063103241686,0.014517643901784515,0.013766268616664431,0.03611968334898698,0.20021467865289144,0.08180289705121573,0.03577200732679668,0.07870656111632901,0.14917482892794848,0.0031285362444252148,1076.0,1.0,5.0,2.0,0.0
60651-2016-09,Chicago,IL,1348.0,63645.0,31.5,30963.0,25.0,288.0,0.0,15294.0,527.0,920.0,9626.0,41781.0,201.0,178.0,713.0,639.0,941.0,3140.0,877.0,2088.0,0.0,0.4804,21026.0,525.0,58484.0,42690.0,15125.0,6116.0,0.5295152800691335,14293.0,6122.0,15948.0,0.2062613733427415,1.0677565288916306,0.10727308564107617,0.3469005617423869,0.504941472228769,0.07923638934716003,0.028501846178018694,0.19910440725901485,0.16747271560025678,0.005342132139209679,0.6422499803598083,0.002796763296409773,0.31194909262314396,0.2584014979796984,0.01927433431128607,0.11133631864246996,0.009097336790007071,0.000342392467365718,516.0,0.0,0.0,0.0,0.0
80237-2016-09,Denver,CO,1438.0,17552.0,39.5,55197.0,32.0,1649.0,8.0,62.0,264.0,167.0,14104.0,1739.0,0.0,986.0,778.0,117.0,174.0,321.0,100.0,1116.0,15.0,0.47,1584.0,284.0,16485.0,14187.0,727.0,263.0,0.5481426618049225,3157.0,4205.0,1146.0,0.04612347451543432,1.486636849569107,0.2573669918535653,0.1261188776023333,0.5892775752051048,0.32993391066545125,0.24960118505013676,0.09298085688240657,0.08421578421578421,0.0010824977210574292,0.09241112123974476,0.05617593436645397,0.08255469462169554,0.07050186060545108,0.04280330222541278,0.0946330902461258,0.13291932543299909,0.01098901098901099,945.0,0.0,2.0,0.0,0.0
11237-2016-09,New York,NY,2509.0,53031.0,29.3,37636.0,9.0,639.0,42.0,13329.0,298.0,532.0,18048.0,5230.0,126.0,3591.0,885.0,785.0,2083.0,4049.0,1019.0,646.0,27.0,0.4681,17504.0,2910.0,48734.0,10355.0,34240.0,25665.0,0.4827365126058343,13902.0,448.0,15247.0,0.09064238360131067,0.2996252380659827,0.11392070484581494,0.4089867841409692,0.5464539608907997,0.09081480643397258,0.052422168165789824,0.11938300239482567,0.08807216090537286,0.004487941015632366,0.06019120891553996,0.06771511002998247,0.7614037072655616,0.7004845814977974,0.03345271660443496,0.09435990269842168,0.018234617487884446,0.00324948176368424,1035.0,1.0,4.0,0.0,0.0
92692-2016-09,Mission Viejo,CA,2073.0,47672.0,42.1,97343.0,584.0,599.0,45.0,63.0,663.0,950.0,39056.0,624.0,153.0,4412.0,1055.0,528.0,955.0,1263.0,478.0,2895.0,27.0,0.4178,1764.0,104.0,45155.0,34711.0,3513.0,1004.0,0.5128167477764726,8766.0,15072.0,1205.0,0.0814328405158855,1.990723457209118,0.18883788354675046,0.16603044213578158,0.5475541198187616,0.28893270683000505,0.19606897130391004,0.09424819600604127,0.027664723352766468,0.002873804329585501,0.012313307601946636,0.09139536835039436,0.13303406611847626,0.013046629620681323,0.09236395092796476,0.031171337472730324,0.08770347373720422,0.0,888.0,0.0,0.0,1.0,0.0
2474-2016-09,Arlington,MA,2448.0,26079.0,41.0,85066.0,87.0,793.0,10.0,6184.0,180.0,350.0,22615.0,737.0,20.0,2091.0,512.0,533.0,910.0,854.0,190.0,1632.0,32.0,0.4253,1274.0,323.0,24645.0,19558.0,694.0,195.0,0.5262471720541432,4676.0,5256.0,4898.0,0.053342505159152016,1.4473012089221862,0.15367562929061784,0.2048054919908467,0.5951148433605583,0.2566049311706737,0.4218336592660761,0.12903102112811074,0.0342843048589986,0.003144292342497795,0.020437900226235668,0.08017945473369377,0.037424747881437175,0.17176773455377575,0.047714339315865176,0.03834502856704628,0.06572337896391732,0.002630929869275672,475.0,0.0,0.0,0.0,0.0
53208-2016-09,Milwaukee,WI,711.0,32518.0,29.7,31031.0,15.0,1096.0,23.0,10364.0,328.0,289.0,11278.0,15835.0,209.0,2839.0,1057.0,147.0,232.0,581.0,210.0,1007.0,6.0,0.4871,11728.0,282.0,29426.0,25450.0,1053.0,508.0,0.4951104003936282,8867.0,5238.0,6017.0,0.19019859064702116,1.2318684949611762,0.2921714428941432,0.1046871083632718,0.5192508764376653,0.12430038747770465,0.09022695122701273,0.15382249830862907,0.17797243158823928,0.0075650409004243795,0.4864075281382619,0.0873054923427025,0.05775262931299587,0.1034338708329852,0.02953235105701473,0.19798265575988686,0.043237591487791376,0.001018537380321858,482.0,0.0,0.0,0.0,0.0
60085-2016-09,Waukegan,IL,1098.0,71038.0,29.7,40750.0,23.0,1531.0,1539.0,6230.0,447.0,837.0,33987.0,12998.0,234.0,3123.0,2300.0,1004.0,1723.0,1512.0,520.0,2586.0,177.0,0.4142,14564.0,561.0,64775.0,25997.0,35264.0,17986.0,0.4958613699710014,20924.0,12653.0,5864.0,0.1250881597878523,1.5733251274837348,0.2556792873051225,0.13616583861572726,0.5042934767307639,0.08319490976660379,0.04320222979250542,0.16961344632450234,0.1160676122012823,0.012767814409189449,0.17596216109687773,0.04294884428052592,0.5765365015906979,0.043995203015247564,0.03221711287273958,0.08197021312536952,0.07904220276471748,0.002137167281911793,1240.0,2.0,1.0,2.0,0.0
53210-2016-09,Milwaukee,WI,723.0,28052.0,28.9,31884.0,12.0,220.0,28.0,6842.0,311.0,300.0,5319.0,21482.0,78.0,327.0,608.0,174.0,279.0,362.0,182.0,938.0,9.0,0.4581,9476.0,178.0,25294.0,24030.0,634.0,248.0,0.5422073292456866,7575.0,5478.0,5812.0,0.1709991876523152,1.168264327962472,0.2298028801960985,0.10193034419364724,0.5013189790389277,0.09870953942677883,0.07546698987594468,0.19007557393412236,0.16686491079014446,0.003778696706117211,0.7643305290175388,0.011656922857550264,0.032118922001996286,0.1361454396895108,0.021527213647441104,0.1966348210466277,0.020925424212177385,0.0,306.0,1.0,0.0,0.0,0.0
47374-2016-09,Richmond,IN,798.0,46669.0,40.3,36417.0,34.0,599.0,869.0,6017.0,542.0,659.0,40632.0,2211.0,46.0,569.0,3589.0,143.0,237.0,604.0,365.0,3690.0,35.0,0.47100000000000003,10363.0,491.0,43822.0,41603.0,1167.0,583.0,0.5291521138228803,8630.0,16154.0,2744.0,0.12523165307635287,1.5364822358582997,0.5407272325375774,0.08189655172413793,0.5070389337675973,0.1171227152928068,0.08939553022348883,0.2498660781246652,0.10466297322253,0.002035612505089032,0.046390537615976335,0.012192247530480621,0.033962587584906466,0.006797082228116711,0.018393254262416604,0.10692322526730806,0.10124493775311234,0.0020313942751615877,1140.0,2.0,0.0,3.0,0.0
