RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
78664-2016-09,Round Rock,TX,1152.0,54864.0,30.6,60442.0,56.0,504.0,38.0,51.0,375.0,386.0,41775.0,6693.0,245.0,2096.0,2691.0,778.0,707.0,925.0,380.0,2099.0,152.0,0.3931,5090.0,209.0,50021.0,35405.0,11983.0,4831.0,0.51609434237387,16816.0,13476.0,2707.0,0.08369346485006432,1.7943552730798231,0.295303047817208,0.1364004161368628,0.5437809857101196,0.17475940507436571,0.08453630796150481,0.13065033537474482,0.07984338603360262,0.003627150772820064,0.11883931175269755,0.037018810148731415,0.35569772528433946,0.0005009054829884791,0.04463431531026292,0.0553915135608049,0.17056722076407116,0.001387718689597066,1394.0,0.0,0.0,0.0,0.0
98122-2016-09,Seattle,WA,1829.0,31287.0,32.5,49846.0,482.0,2527.0,46.0,8028.0,294.0,217.0,20596.0,5069.0,387.0,3163.0,1382.0,418.0,660.0,675.0,194.0,788.0,56.0,0.5376,5445.0,4769.0,29810.0,24134.0,1349.0,410.0,0.5006871863713364,4561.0,5391.0,2718.0,0.06444095686498312,1.057268441839725,0.2355579868708972,0.0975382932166302,0.6456675296449005,0.2964490043788155,0.28970498929267746,0.06942180458337327,0.06648430066603235,0.014382970562853582,0.1563588710966216,0.10064883178316872,0.06165500047943235,0.24469365426695844,0.047177438531411986,0.13913126857800365,0.1422635599450251,0.004043767840152236,1172.0,1.0,8.0,2.0,0.0
19131-2016-09,Philadelphia,PA,1074.0,43660.0,34.2,29899.0,0.0,5239.0,13.0,8429.0,402.0,652.0,6952.0,33234.0,159.0,1606.0,750.0,334.0,746.0,1172.0,529.0,3326.0,25.0,0.5102,12560.0,970.0,41373.0,37425.0,887.0,282.0,0.5512826385707742,6484.0,11671.0,3513.0,0.13012809660854355,0.9230091904683286,0.19501042297088286,0.2332728128572389,0.4848144754924416,0.1261337608795236,0.1097343105817682,0.18520384791571232,0.15980024968789014,0.006871278057718736,0.7439303710490152,0.036784241868987634,0.03815849748053138,0.28222715352027433,0.021669206026747927,0.055909299129638115,0.04599175446633074,0.0,459.0,1.0,18.0,2.0,0.0
93309-2016-09,Bakersfield,CA,949.0,59051.0,32.8,48412.0,44.0,855.0,306.0,185.0,591.0,845.0,42179.0,5813.0,333.0,2668.0,3433.0,446.0,506.0,812.0,342.0,3532.0,1.0,0.4473,10912.0,338.0,54727.0,38712.0,13131.0,4256.0,0.5104401280249276,13492.0,13435.0,7267.0,0.10654739113787462,1.7014918500782759,0.3987788669214155,0.08581159661073268,0.5004995681698869,0.13495114392643648,0.07512150513962508,0.16875243433642104,0.07598706603131382,0.005148092326971601,0.09598482667524684,0.042319351069414576,0.3920678735330477,0.01312510383784682,0.03188415886386578,0.13681394049211698,0.0847403092242299,0.0,1517.0,2.0,0.0,1.0,0.0
94063-2016-09,Redwood City,CA,3035.0,31427.0,31.0,51690.0,92.0,908.0,702.0,689.0,167.0,323.0,21992.0,1203.0,394.0,1303.0,967.0,249.0,481.0,499.0,107.0,868.0,0.0,0.4521,6043.0,857.0,29029.0,8234.0,19068.0,11469.0,0.464855060934865,7731.0,4228.0,1977.0,0.10876439353260543,1.8342504211117352,0.2686513629842181,0.09081779053084647,0.5416361727177268,0.08779075317402234,0.05450727081808636,0.15044388583065518,0.051448657861099284,0.004454768192955102,0.03226524962611767,0.03952015782607312,0.7206223947561015,0.05473457675753228,0.02744466320625261,0.04225665828745983,0.11194196073440037,0.0005325948018747337,1563.0,1.0,1.0,0.0,0.0
80233-2016-09,Northglenn,CO,1394.0,45565.0,33.8,58922.0,19.0,856.0,31.0,57.0,464.0,521.0,39144.0,882.0,265.0,1713.0,1795.0,985.0,1360.0,1341.0,468.0,1950.0,48.0,0.3555,5014.0,335.0,42485.0,34571.0,5070.0,2075.0,0.4979479863930649,10475.0,12463.0,1101.0,0.08912883625527304,1.9153128031037827,0.1815413550669473,0.1845416685325333,0.5552507407000987,0.15011522001536268,0.0544496872599583,0.2170964556128608,0.06665157859001923,0.005311094041479204,0.017557335674311426,0.037199604959947334,0.2788763305168441,0.038466705476691586,0.032508998026239404,0.039723471963129586,0.12472292329638975,0.0,694.0,1.0,0.0,0.0,0.0
78257-2016-09,San Antonio,TX,1252.0,3779.0,41.9,115417.0,193.0,34.0,220.0,29.0,114.0,172.0,3391.0,144.0,24.0,113.0,179.0,57.0,39.0,85.0,41.0,282.0,0.0,0.5793,368.0,74.0,3607.0,3011.0,513.0,99.0,0.4768457263826409,636.0,1244.0,18.0,0.012234042553191491,2.033685601056803,0.2456351595424443,0.12703190848886214,0.5490870600688013,0.23392431860280494,0.32707065361206666,0.08732468907118285,0.18073593073593072,0.0063508864779042076,0.03307753373908441,0.029902090500132313,0.2069330510717121,0.018663455749548464,0.09840425531914894,0.055041016141836464,0.15718444032812914,0.03787878787878788,351.0,0.0,0.0,0.0,0.0
40502-2016-09,Lexington,KY,774.0,26508.0,39.3,56888.0,126.0,462.0,27.0,2470.0,335.0,508.0,23799.0,1471.0,60.0,629.0,1900.0,124.0,167.0,244.0,207.0,1705.0,0.0,0.5436,3491.0,510.0,25392.0,23789.0,473.0,250.0,0.5136185302550174,3231.0,8697.0,2581.0,0.06864600326264274,1.6672032193158954,0.4259597806215722,0.06288848263254114,0.5377244605402143,0.24475629998491025,0.3308435189376792,0.0726950354609929,0.11072144288577154,0.002716161158895428,0.0554926814546552,0.023728685679794782,0.01603289572959107,0.02076782449725777,0.02727569331158238,0.13856194356420706,0.07443036064584277,0.0,644.0,2.0,0.0,0.0,0.0
6418-2016-09,Derby,CT,1262.0,12858.0,39.6,54561.0,12.0,176.0,0.0,2120.0,166.0,93.0,10451.0,956.0,0.0,396.0,654.0,95.0,119.0,311.0,200.0,997.0,0.0,0.3977,1675.0,206.0,11941.0,9612.0,1298.0,594.0,0.5131435682065639,2758.0,2945.0,2325.0,0.10517435320584928,1.5909528392685277,0.2747769667477697,0.14939172749391727,0.5324311712552496,0.1540675066106704,0.12832477834811012,0.2405506299580028,0.10508182601205857,0.0064551252138746315,0.0733395551407684,0.03079794680354643,0.16083372219629802,0.048499594484995946,0.02235658042744657,0.03639757349510032,0.09939337377508166,0.0,259.0,1.0,1.0,0.0,0.0
14043-2016-09,Depew,NY,960.0,24425.0,40.9,49819.0,0.0,227.0,97.0,1680.0,335.0,491.0,23695.0,212.0,0.0,108.0,1067.0,196.0,101.0,200.0,129.0,2690.0,0.0,0.3665,2113.0,246.0,23191.0,21702.0,227.0,123.0,0.5135721596724667,4383.0,7581.0,3064.0,0.07130795210316243,1.5898802843247288,0.2700197407947816,0.04394472577461162,0.5224564994882293,0.17604912998976455,0.08818833162743091,0.2743500511770727,0.0630093769170099,0.0008597748208802456,0.008679631525076765,0.004421699078812692,0.018669396110542483,0.004634795296541068,0.010439054344488791,0.02890481064483112,0.06906857727737974,0.0,685.0,0.0,0.0,0.0,0.0
