X,Y,FID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,FIPS,DIRECTIONS,NAICSCODE,NAICSDESCR,GEOPREC,PHONELOC,AGENCIES,AGENCY_PH,UNIQUE_ID,NUM_AGENCY,LONGITUDE,LATITUDE,ZIP4
-9607340.7162,3812883.0516,1,SUPREME COURT BUILDING,(334) 229-0700,300 DEXTER AVENUE,NOT AVAILABLE,MONTGOMERY,AL,36104,MONTGOMERY,01101,LOCATED ON THE SOUTH SIDE OF DEXTER AVENUE BETWEEN SOUTH MCDONOUGH STREET AND SOUTH HULL STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,"COURT OF CIVIL APPEALS; COURT OF CRIMINAL APPEALS; COURT, SUPREME; COURTS, ADMINISTRATIVE OFFICE OF; APPELLATE MEDIATION OFFICE",(334) 229-0700,10405421,5,-86.3042106,32.3768706,3741
-9606439.7073,3813010.5043,2,BUSINESS CENTER OF ALABAMA,(334) 262-3802,2 NORTH JACKSON STREET,NOT AVAILABLE,MONTGOMERY,AL,36104,MONTGOMERY,01101,LOCATED ON THE NE CORNER OF NORTH JACKSON STREET AND PELHAM STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,"CHILDRENS AFFAIRS; HOMELAND SECURITY; BUSINESS COUNCIL OF ALABAMA",(334) 956-7250,10405418,3,-86.2961164,32.3778377,3809
-11668743.1481,5034741.2063,3,WYOMING INSURANCE DEPARTMENT,(307) 777-7401,106 EAST 6TH AVENUE,NOT AVAILABLE,CHEYENNE,WY,82001,LARAMIE,56021,ON THE NORTH SIDE OF EAST 6TH AVENUE BETWEEN WARREN AVENUE AND CENTRAL AVENUE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,"INSURANCE, DEPARTMENT OF; INSURANCE AGENTS EXAMINERS, BOARD OF",NOT AVAILABLE,10404655,2,-104.8221035,41.1516869,1312
-10001369.7534,5524438.3274,4,WISCONSIN RAPIDS STATE OFFICE BUILDING,(715) 423-9510,1681 2ND AVENUE SOUTH,NOT AVAILABLE,WISCONSIN RAPIDS,WI,54495,WOOD,55141,LOCATED ON THE SE SIDE OF SOUTH 2ND AVENUE 0.12 MILES SW OF WOODBINE AVENUE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF TRANSPORTATION,NOT AVAILABLE,10404822,1,-89.8438334,44.3800043,4768
-12925628.5686,5398131.127,5,ROBERT SMILEY BUILDING,(208) 334-4199,5657 EAST WARM SPRINGS AVENUE,NOT AVAILABLE,BOISE,ID,83716,ADA,16001,LOCATED ON THE SW SIDE OF EAST WARM SPRINGS AVENUE 35 MILES SE OF SOUTH COUNCIL SPRING ROAD,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,IDAHO STATE DEPARTMENT OF PARKS AND RECREATION,NOT AVAILABLE,10407665,1,-116.112897,43.563446,8700
-8407297.7893,4743788.4966,6,MAZYIO BUILDING,(302) 739-4211,102 WEST WATER STREET,NOT AVAILABLE,DOVER,DE,19904,KENT,10001,ON THE SOUTH SIDE OF WEST WATER STREET BETWEEN SOUTH STATE STREET AND SOUTH GOVERNORS AVENUE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,ATTORNEY GENERAL,NOT AVAILABLE,10406774,1,-75.5240409,39.1542341,6750
-8406906.1801,4744046.1667,7,HASLET ARMORY,(302) 739-4206,122 WILLIAM PENN STREET,NOT AVAILABLE,DOVER,DE,19901,KENT,10001,ON THE SW CORNER OF LEGISLATIVE AVENUE AND WILLIAM PENN STREET INTERSECTION,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,OFFICE OF MANAGEMENT AND BUDGET,NOT AVAILABLE,10406685,1,-75.520523,39.1560298,3636
-11792747.3722,4256985.2445,8,EAST COMPLEX - PERA BUILDING,NOT AVAILABLE,1120 PASEO DE PERALTA,NOT AVAILABLE,SANTA FE,NM,87501,SANTA FE,35049,"LOCATED ON THE NORTH SIDE OF PASEO DE PARALTA, 0.10 MILES EAST OF OLD SANTA FE TRAIL",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"CHILDREN, YOUTH AND FAMILIES DEPARTMENT; PUBLIC REGULATIONS COMMISSION; PUBLIC EMPLOYEES RETIREMENT ASSOCIATION",(505) 827-4433,10405008,3,-105.9360519,35.682237,2747
-13680918.8648,5948175.7149,9,DEPARTMENT OF NATURAL RESOURCES BUILDING,NOT AVAILABLE,1111 WASHINGTON STREET SE,NOT AVAILABLE,OLYMPIA,WA,98501,THURSTON,53067,"LOCATED ON THE EAST SIDE OF WASHINGTON STREET SE, APPROXIMATELY 0.06 MILES SOUTH OF 11TH AVENUE SE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"DEPARTMENT OF FISH AND WILDLIFE;  DEPARTMENT OF NATURAL RESOURCES",(360) 902-1800,10405381,2,-122.8977855,47.0373682,2283
-13683292.5182,5939065.7897,10,EDNA LUCILLE GOODRICH BUILDING,NOT AVAILABLE,7345 LINDERSON WAY SW,NOT AVAILABLE,TUMWATER,WA,98501,THURSTON,53067,"LOCATED ON THE WEST SIDE OF LINDERSON WAY SW, BETWEEN 73RD AVENUE SE AND TUMWATER BOULEVARD SW",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"DEPARTMENT OF CORRECTIONS; DEPARTMENT OF TRANSPORTATION",(360) 725-8213,10410146,2,-122.9191084,46.9815664,5701
-8079566.6401,5505898.3973,11,CHITTENDEN BANK BUILDING,NOT AVAILABLE,112 STATE STREET,NOT AVAILABLE,MONTPELIER,VT,05602,WASHINGTON,50023,LOCATED ON THE SOUTH SIDE OF STATE STREET 0.03 MILES NW OF TAYLOR STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,DEPARTMENT OF PUBLIC SERVICE,(802) 828-2811,10405397,1,-72.5799823,44.2608495,2710
-8323335.6325,4898068.0743,12,STATE HOUSE,NOT AVAILABLE,125 WEST STATE STREET,NOT AVAILABLE,TRENTON,NJ,08608,MERCER,34021,"SW SIDE OF WEST STATE STREET, 0.07 MILES SE OF TAYLOR PLACE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"DEPARTMENT OF TREASURY; SECRETARY OF STATE; OFFICE OF LEGISLATIVE SERVICES",(609) 684-1900,10405235,3,-74.7697966,40.2207155,1101
-9013960.5314,4052774.8092,13,SOUTH CAROLINA DEPARTMENT OF MOTOR VEHICLES - BUILDING C,(803) 896-9988,10311 WILSON BOULEVARD,NOT AVAILABLE,BLYTHEWOOD,SC,29016,RICHLAND,45079,LOCATED ON THE WEST SIDE OF WILSON BOULEVARD 0.46 MILES NORTH OF THE INTERSECTION OF OF I-77 AND WILSON BOULEVARD,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,"DEPARTMENT OF MOTOR VEHICLES; DEPARTMENT OF PUBLIC SAFETY",(803) 896-7920,10404965,2,-80.9737854,34.1783467,9018
