RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
10025-2019-09,New York,NY,3698.0,96068.0,40.3,74065.0,1598.0,27571.0,13.0,2015.0,979.0,1965.0,62344.0,13567.0,852.0,8943.0,1591.0,3045.0,3039.0,3325.0,969.0,5853.0,29.0,0.5701,14911.0,6397.0,91087.0,59561.0,16641.0,6676.0,0.565776325103052,14911.0,566.0,3464.0,0.07988600845743703,0.2711478276877761,0.10377379153251418,0.2370720809514423,0.579839280509639,0.2388204188699671,0.4691780821917808,0.06973185660157387,0.09362811554906664,0.0051838281217470965,0.0982741391514344,0.09189324228671357,0.22222800516300956,0.7274240532667499,0.05947784519213091,0.09639005704292793,0.05206728567264854,0.0,3954.0,1.0,6.0,1.0,0.0
60657-2019-09,Chicago,IL,1806.0,69147.0,30.9,79638.0,577.0,12457.0,7.0,1663.0,367.0,718.0,59621.0,1879.0,104.0,4948.0,1358.0,2685.0,4124.0,4139.0,1036.0,2283.0,12.0,0.5041,6755.0,2549.0,65248.0,55901.0,2905.0,785.0,0.5097979666507585,13668.0,4050.0,14649.0,0.03400191395035447,0.8450508788159112,0.08112890383084137,0.2515261435017252,0.6863927574587473,0.3834150433135205,0.426511634633462,0.03948110547095319,0.0828925042419403,0.002588687867875685,0.026682285565534297,0.07147092426280244,0.060638928659233225,0.5279792975316288,0.06857020096478722,0.1612362069214861,0.1045743126961401,0.0017466813055195126,3810.0,2.0,4.0,1.0,0.0
10023-2019-09,New York,NY,3521.0,60586.0,42.1,111478.0,1802.0,27801.0,0.0,1884.0,777.0,983.0,49823.0,1883.0,93.0,5836.0,374.0,1235.0,1233.0,1251.0,607.0,4277.0,0.0,0.5611,4825.0,5562.0,56493.0,41807.0,4269.0,926.0,0.5347440002640874,13888.0,412.0,3345.0,0.04873518002513249,0.2871317356128835,0.09224564142596928,0.13173302107728338,0.6149275410160763,0.2824744990591886,0.6317796190539069,0.05582147690885683,0.2009221536434827,0.005826428547849339,0.02659030138976001,0.0934539332519064,0.0970521242531278,0.6724889409315639,0.08517729333988963,0.0699006371108837,0.056795299244049774,0.0,4594.0,0.0,5.0,4.0,0.0
77494-2019-09,Katy,TX,1252.0,88077.0,34.4,134125.0,35.0,586.0,38.0,112.0,645.0,905.0,62657.0,6070.0,559.0,13780.0,1899.0,1296.0,2733.0,5669.0,956.0,2142.0,0.0,0.3454,1960.0,57.0,80564.0,52511.0,11597.0,2367.0,0.5061707369687887,26845.0,25169.0,576.0,0.03096349693993565,2.0421079729332154,0.14719664360050128,0.3616847381899417,0.5413558590778523,0.2888608830909318,0.23789411537631844,0.051000828820236835,0.02495697074010327,0.007618333957786936,0.06279732506783837,0.1557160212087151,0.1733029054123097,0.02631722334223288,0.059483780449454515,0.006539732279709799,0.1297955198292403,0.021765633964429144,4318.0,1.0,0.0,0.0,0.0
60614-2019-09,Chicago,IL,1952.0,69423.0,30.1,92714.0,1140.0,11758.0,82.0,1321.0,420.0,873.0,59788.0,3086.0,42.0,4005.0,1497.0,2051.0,2111.0,3313.0,934.0,2065.0,0.0,0.5235,7046.0,3037.0,65400.0,56832.0,2580.0,783.0,0.5049191190239546,13300.0,6665.0,11286.0,0.04124362809116569,0.9528556593977154,0.11728205006749876,0.20706723823508516,0.6210765884505135,0.34942310185385245,0.4051971248721605,0.0379845296227475,0.07972696245733789,0.002419947279719977,0.04357345548305317,0.0571568500352909,0.06675021246560937,0.461762546479407,0.05895858785861735,0.15002232689454506,0.11226826844129467,0.0014197952218430033,4457.0,0.0,3.0,0.0,0.0
10002-2019-09,New York,NY,3481.0,80736.0,40.8,33726.0,306.0,18298.0,13.0,3494.0,898.0,1203.0,23866.0,6952.0,177.0,34908.0,1187.0,913.0,1849.0,2756.0,1130.0,4364.0,42.0,0.5705,24215.0,9012.0,77657.0,28311.0,16666.0,5834.0,0.5192479191438764,9995.0,202.0,2997.0,0.08936927772126145,0.20379033225380835,0.1196599170822568,0.2155861323078772,0.5843118311533888,0.2130524177566389,0.12729141894569956,0.1570055489496631,0.065646801714718,0.009128517637732857,0.07492320650019818,0.4303780221957986,0.2641324811732065,0.5708706363035511,0.042700915564598166,0.06085265556876734,0.02322384066587396,0.0,6007.0,0.0,6.0,1.0,0.0
77084-2019-09,Houston,TX,1307.0,102437.0,33.0,63597.0,15.0,1265.0,18.0,16.0,1051.0,1079.0,64318.0,16961.0,72.0,9538.0,2530.0,1171.0,3039.0,5488.0,1127.0,2642.0,27.0,0.4032,12061.0,430.0,94834.0,51794.0,32591.0,11827.0,0.5038023370461845,24376.0,24917.0,2481.0,0.0606882918501213,1.9161707243763149,0.13362952836637046,0.25885569538820313,0.5581772211212745,0.17122719329929614,0.07965871706512295,0.15203490926130206,0.052595608964319265,0.001278834796020969,0.16005935355389167,0.09278873844411688,0.43304665306481055,0.015077801455510432,0.036427351963339016,0.009049464548942277,0.10220916270488202,0.0005980009681920438,3293.0,0.0,0.0,2.0,0.0
79936-2019-09,El Paso,TX,877.0,113887.0,31.2,51784.0,46.0,545.0,806.0,239.0,1080.0,1200.0,100932.0,2105.0,540.0,1118.0,4101.0,1086.0,1648.0,881.0,989.0,4951.0,1767.0,0.4264,16362.0,473.0,105864.0,29856.0,74144.0,21767.0,0.5159763625347933,25655.0,30470.0,3255.0,0.06512376954255936,2.0144000458965605,0.24909754413650265,0.07837064799289871,0.513386075671499,0.15438109705234135,0.07042068014786587,0.1567343068128935,0.05150459813897807,0.005215696260328221,0.015401231044807572,0.009632354878080904,0.8533458603703671,0.0065095177039155745,0.02294441227562247,0.07721689042647538,0.034402521797922504,0.0003537029983131088,3824.0,2.0,0.0,0.0,0.0
60640-2019-09,Chicago,IL,1498.0,66050.0,37.4,47631.0,183.0,13251.0,31.0,2961.0,710.0,1108.0,41063.0,13055.0,152.0,7006.0,904.0,1734.0,3187.0,4084.0,1199.0,2349.0,5.0,0.5263,13742.0,1539.0,62640.0,42934.0,6690.0,2998.0,0.4880696442089326,10535.0,2802.0,12294.0,0.08973987741904348,0.7929090380703284,0.07541696881798404,0.38422044960116025,0.690779712339137,0.30264950794852385,0.3018016654049962,0.12148372445117335,0.08767929580825623,0.003754731264193793,0.19262679788039366,0.10496593489780467,0.12231642694928085,0.4783176214648296,0.06609237005936007,0.12699470098410295,0.06469341408024222,0.001723360818728955,2940.0,3.0,5.0,2.0,0.0
11226-2019-09,New York,NY,2073.0,99026.0,34.7,43399.0,456.0,16124.0,34.0,2670.0,989.0,1421.0,12017.0,71315.0,106.0,3044.0,502.0,1528.0,3893.0,9234.0,3182.0,3037.0,8.0,0.4623,19509.0,1847.0,92351.0,58753.0,13368.0,6015.0,0.5503201179488215,19250.0,2640.0,8113.0,0.10958459127909198,0.39142992029770335,0.046566332473108464,0.5293808664672163,0.5585199846504958,0.1520408781532123,0.09993335083715388,0.2160745662755236,0.08738626859619332,0.0061700967422697066,0.6881526063862016,0.030365762527013108,0.16458303879789146,0.7694292826638043,0.02803149004471281,0.04316038212186698,0.00975501383475047,0.0,2635.0,0.0,8.0,0.0,0.0
