RegionName,City,State,Rent,Current Rent,total_pop,median_age,median_income,households_retirement_income,gini_index,dwellings_1_units_perc,dwellings_under_10_units_perc,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_commuter_by_public_transport,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,armed_forces_perc,mobile_homes_perc,housing_built_1939_or_earlier_perc,walk_to_work_perc,dwellings_50_or_more_units_perc,poverty_perc,employed_in_finance_information_perc,housing_per_pop,renter_occupied_units_perc,married_households_perc,pop_in_labor_force_perc,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
10025-2019-09,New York,NY,3698.0,3694.0,96068.0,40.3,74065.0,5853.0,0.5701,0.011805193450829076,0.07224945249765356,0.07984343703485915,0.2711478276877761,0.10377379153251418,0.2370720809514423,0.579839280509639,0.2388204188699671,0.2905129699795978,0.06973185660157387,0.09362811554906664,0.7274240532667499,0.09639005704292793,0.05206728567264854,0.0,0.0005329021113949172,0.00027114401918865367,0.04202732297424132,0.14010995028144646,0.5750547502346438,0.15521297414331514,0.16130395633877873,0.4990735728858725,0.6877672332881427,0.30923232695139913,0.5664633384685848,2027.0,1.0,6.0,1.0,0.0
60657-2019-09,Chicago,IL,1806.0,1755.0,69147.0,30.9,79638.0,2283.0,0.5041,0.10105798981934323,0.3655304920650764,0.033993947085814706,0.8450508788159112,0.08112890383084137,0.2515261435017252,0.6863927574587473,0.3834150433135205,0.2582469232215425,0.03948110547095319,0.0828925042419403,0.5279792975316288,0.1612362069214861,0.1045743126961401,0.0017466813055195126,0.00023430635555989459,0.00017466813055195133,0.041496157301127864,0.05637883747677608,0.3108344146122368,0.09769042763966622,0.16221810016596697,0.5795768435362344,0.5766793093123066,0.2537410894052348,0.740668431023761,1875.0,2.0,4.0,1.0,0.0
10023-2019-09,New York,NY,3521.0,3652.0,60586.0,42.1,111478.0,4277.0,0.5611,0.010050986801980922,0.08160327876851016,0.04873518002513249,0.2871317356128835,0.09224564142596928,0.13173302107728338,0.6149275410160763,0.2824744990591886,0.3887531773016869,0.05582147690885683,0.2009221536434827,0.6724889409315639,0.0699006371108837,0.056795299244049774,0.0,0.0,0.0,0.04596130857993218,0.18091334894613584,0.6782220487424069,0.0796388604628132,0.3024640769272797,0.6765754464727824,0.484399014417799,0.3083193405586933,0.6041989898656456,2384.0,0.0,5.0,4.0,0.0
77494-2019-09,Katy,TX,1252.0,1304.0,88077.0,34.4,134125.0,2142.0,0.3454,0.9025028686173264,0.02065404475043029,0.03096349693993565,2.0421079729332154,0.14719664360050128,0.3616847381899417,0.5413558590778523,0.2888608830909318,0.13866276099322186,0.051000828820236835,0.02495697074010327,0.02631722334223288,0.006539732279709799,0.1297955198292403,0.021765633964429144,0.0,0.0013625932300631097,0.004016064257028112,0.0015528796382062878,0.02101262191623637,0.022253255674012512,0.08052928227581703,0.31663203787594946,0.14941910499139416,0.7642321270962048,0.4693506817897976,1645.0,1.0,0.0,0.0,0.0
60614-2019-09,Chicago,IL,1952.0,1828.0,69423.0,30.1,92714.0,2065.0,0.5235,0.18197952218430036,0.3081501706484642,0.04124362809116569,0.9528556593977154,0.11728205006749876,0.20706723823508516,0.6210765884505135,0.34942310185385245,0.24856315630266626,0.0379845296227475,0.07972696245733789,0.461762546479407,0.15002232689454506,0.11226826844129467,0.0014197952218430033,0.0,0.0022389078498293515,0.036068259385665526,0.07192762238590343,0.32103754266211604,0.10149374126730333,0.19252643552260185,0.5275629114270487,0.5285187713310581,0.29200415368639665,0.6838367687942036,2235.0,0.0,3.0,0.0,0.0
10002-2019-09,New York,NY,3481.0,3659.0,80736.0,40.8,33726.0,4364.0,0.5705,0.0056596901179569075,0.08397074892830125,0.08927391900818048,0.20379033225380835,0.1196599170822568,0.2155861323078772,0.5843118311533888,0.2130524177566389,0.07596363456202933,0.1570055489496631,0.065646801714718,0.5708706363035511,0.06085265556876734,0.02322384066587396,0.0,0.0010670189522890097,0.0003642374828388109,0.0978958280799081,0.2707444571291234,0.5126782662295817,0.2999281609195402,0.1330471012651796,0.442070451843044,0.8075985542573758,0.29959817680220696,0.4875396353547364,3015.0,0.0,6.0,1.0,0.0
77084-2019-09,Houston,TX,1307.0,1280.718,102437.0,33.0,63597.0,2642.0,0.4032,0.7095423868781502,0.07064954295640287,0.06065885903147004,1.9161707243763149,0.13362952836637046,0.25885569538820313,0.5581772211212745,0.17122719329929614,0.04547185099134102,0.15203490926130206,0.052595608964319265,0.015077801455510432,0.009049464548942277,0.10220916270488202,0.0005980009681920438,0.00048498347463716055,0.0005125722584503232,0.0004556197852891762,0.008644606167825981,0.036022439274425486,0.1177406601130451,0.07359175168846098,0.3428155842127356,0.3727539368397073,0.5467087466185753,0.5434755020158731,1637.0,0.0,0.0,2.0,0.0
79936-2019-09,El Paso,TX,877.0,972.0,113887.0,31.2,51784.0,4951.0,0.4264,0.8290254122000327,0.08856178919301301,0.06310603005383038,2.0144000458965605,0.24909754413650265,0.07837064799289871,0.513386075671499,0.15438109705234135,0.03873137408132623,0.1567343068128935,0.05150459813897807,0.0065095177039155745,0.07721689042647538,0.034402521797922504,0.0003537029983131088,0.030983149515175955,0.021929585895412745,0.006502693584371768,0.009330308708945656,0.014828318006203406,0.14366872426176824,0.06755974820711542,0.3227234012661673,0.2878054089350819,0.5516479733799948,0.5007683054255534,1819.0,2.0,0.0,0.0,0.0
60640-2019-09,Chicago,IL,1498.0,1460.0,66050.0,37.4,47631.0,2349.0,0.5263,0.07429010790890049,0.3259538139300581,0.08972905155982339,0.7929090380703284,0.07541696881798404,0.38422044960116025,0.690779712339137,0.30264950794852385,0.17732021196063588,0.12148372445117335,0.08767929580825623,0.4783176214648296,0.12699470098410295,0.06469341408024222,0.001723360818728955,0.00012063599295485801,0.0008219105443168862,0.07850571360394518,0.04464104423495287,0.3513269878304213,0.20805450416351248,0.10707650734673198,0.5710370931112794,0.6295834769467349,0.24155768671897704,0.6275094625283876,1497.0,3.0,5.0,2.0,0.0
11226-2019-09,New York,NY,2073.0,2001.0,99026.0,34.7,43399.0,3037.0,0.4623,0.06690827989963757,0.2056162404643029,0.1095678422681594,0.39142992029770335,0.046566332473108464,0.5293808664672163,0.5585199846504958,0.1520408781532123,0.05496536263203603,0.2160745662755236,0.08738626859619332,0.7694292826638043,0.04316038212186698,0.00975501383475047,0.0,0.00015284093080126862,0.0008616975441619991,0.06766860126213346,0.04218146938589079,0.4086473882961199,0.19700886635833012,0.07980207099461235,0.398450911881728,0.797779861621512,0.269127162653781,0.5285682548017693,1300.0,0.0,8.0,0.0,0.0
10467-2019-09,New York,NY,1818.0,1500.0,101134.0,33.4,35117.0,3549.0,0.4772,0.045203939621025584,0.2305962958997966,0.16098209463669974,0.4843936551253624,0.10406018190873108,0.528374092422217,0.5301678960586944,0.129758538177072,0.03724761207902387,0.1845768979769415,0.058505513328337436,0.638174621897198,0.08650898807522693,0.01075800423200902,0.00053527459586768,0.0,0.00029440102772722407,0.14907397494914892,0.09239600534717307,0.3413981372444064,0.2932050546799296,0.06908728345311786,0.3694504320999862,0.8351889519323413,0.27460344533515263,0.4760219115233255,1110.0,1.0,7.0,0.0,0.0
78660-2019-09,Pflugerville,TX,1341.0,1191.0,79067.0,34.2,76368.0,4095.0,0.3766,0.8362504145325915,0.04569070341574855,0.05812250782851607,1.943555117214172,0.1880434502154449,0.14828289083262378,0.5780540554213515,0.2321701847799967,0.0687012280723943,0.1282709600718378,0.028630384317771474,0.005031349175632789,0.010940088785460432,0.11262600073355508,0.0033162607317882013,0.0017121358895221786,0.052065293489074765,0.0006264048048933269,0.0044121062001702925,0.020229190463908028,0.08915223797538796,0.09642028430467008,0.3432405428307638,0.23394377095692545,0.5884227296866702,0.5614099434656683,1048.0,1.0,0.0,1.0,0.0
