RegionName,City,State,Rent,Current Rent,total_pop,median_age,median_income,households_retirement_income,gini_index,dwellings_1_units_perc,dwellings_under_10_units_perc,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_commuter_by_public_transport,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,armed_forces_perc,mobile_homes_perc,housing_built_1939_or_earlier_perc,walk_to_work_perc,dwellings_50_or_more_units_perc,poverty_perc,employed_in_finance_information_perc,housing_per_pop,renter_occupied_units_perc,married_households_perc,pop_in_labor_force_perc,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
91101-2016-09,Pasadena,CA,2081.0,1712.1411269999999,21545.0,33.4,55995.0,843.0,0.4689,0.114927010378871,0.15188591680027005,0.09935561216843998,1.2482671707624449,0.2927749820273185,0.17244787922358015,0.6041308888373172,0.2874912972847529,0.20366674402413554,0.07133905778602924,0.06261075014766686,0.08563982746225737,0.08266419122766303,0.1922487816198654,0.0,0.0,0.0,0.1553455404607206,0.0979511143062545,0.3673107754619863,0.1768855883035507,0.15427843548628806,0.5500580181016477,0.7772339886929372,0.2412458367089747,0.6194476676723137,1880.0,0.0,1.0,2.0,0.0
5401-2016-09,Burlington,VT,1771.0,983.294,27970.0,27.4,37684.0,1023.0,0.5148,0.26289056487609663,0.5495613360012314,0.08109006314390163,1.3554231419598999,0.506090373280943,0.04800261951538965,0.4854844476224526,0.20879513764747945,0.10443332141580264,0.10268144440471934,0.04425119285824226,0.05874263261296661,0.18673578834465496,0.17357883446549874,0.0,0.000387725711753628,0.003540095428659381,0.5318608588579344,0.2371316306483301,0.055410189318146834,0.300929567393636,0.056884900852996564,0.4645691812656418,0.6773895644143451,0.2335936870923585,0.64547729710404,1291.0,1.0,0.0,1.0,1.0
94801-2016-09,Richmond,CA,2335.0,1575.0,29277.0,30.3,43084.0,919.0,0.5037,0.5328119038534911,0.3325066768409004,0.13413858868404324,1.51954073746964,0.17231466155588465,0.2751110723930656,0.5179150869283055,0.09819995218089284,0.03951907640810192,0.13444000409878062,0.1360167874856925,0.1681331126404739,0.07483690268811695,0.14342316494176316,0.002479969477298741,0.0021897294624567357,0.003052270125906143,0.1821823731400229,0.035368934576182585,0.054177794734834035,0.25231410322095843,0.05700360245814792,0.3580967995354715,0.4931323922167112,0.3709428129829985,0.4835536427912696,377.0,0.0,1.0,0.0,0.0
46205-2016-09,Indianapolis,IN,752.0,634.0,26351.0,33.3,36602.0,1586.0,0.4904,0.6426107354767491,0.1932523802952946,0.1600407747196738,1.3771156558533146,0.2257430816535702,0.06867099419200548,0.5721225000948731,0.17407309020530531,0.0686121968805738,0.16860840195817994,0.2173313095073824,0.04851383669285958,0.17748852035975865,0.043945201320633,0.003035738926452325,0.00040774719673802244,0.0038636677245756867,0.4498413136470264,0.020071745814827468,0.02138816061818684,0.215323896626314,0.07543323139653414,0.5500360517627415,0.4065820339450808,0.2503526093088857,0.5584228302531213,516.0,0.0,0.0,0.0,0.0
92656-2016-09,Aliso Viejo,CA,2081.0,1689.02907075,49067.0,36.0,96855.0,1307.0,0.3635,0.6442801086628434,0.12486165610222355,0.07032439197645705,1.7825462667517549,0.20032992677235054,0.1261366379657198,0.6070271261744146,0.323476063341961,0.10874926121425806,0.07842338027594921,0.0540295804406882,0.010259917920656636,0.0387225630260664,0.13369474392157665,0.011570580541301941,0.001420694787403173,0.0,0.002112888620585572,0.015852579061720447,0.092313109970822,0.04465322925795341,0.13845008963907587,0.40511953043797255,0.348526008652782,0.5213252499468198,0.6025027003892637,1199.0,1.0,0.0,1.0,0.0
19121-2016-09,Philadelphia,PA,1363.0,1419.0,34418.0,26.2,15935.0,1469.0,0.5789,0.6469896519285042,0.23130291627469424,0.2372973392289194,0.5145746109487321,0.12384590894619547,0.2629735752944922,0.4198965657504794,0.05308268929048753,0.01699692021616596,0.22430123772444646,0.25570319849482603,0.4135625596943648,0.1164216398396188,0.051659015631355686,0.0029985888993414858,0.0,0.0022342427093132644,0.4975305738476011,0.12427040220736495,0.0766698024459078,0.5155732465570341,0.060119463191373824,0.4941600325411122,0.5090545625587959,0.11525396950786003,0.3745423906095648,240.0,0.0,1.0,0.0,0.0
45205-2016-09,Cincinnati,OH,606.0,578.0,20954.0,28.9,28629.0,917.0,0.4482,0.5086537465022282,0.3455280339931599,0.17026485644335634,1.1435801811401172,0.2506404782237404,0.17520637631653854,0.4906939009258375,0.0713944831535745,0.020664312303140208,0.1898921446979097,0.22188827857809096,0.14944491887275832,0.22530304476472274,0.053354968025198055,0.0,0.0,0.0024873043838739765,0.5816146750958648,0.021918588101337892,0.03295678308633019,0.4002577073589768,0.060761184064099714,0.4604848716235563,0.4848170794901026,0.2513319126265317,0.428844134771404,115.0,0.0,0.0,0.0,0.0
30097-2016-09,Duluth,GA,1275.0,977.17773825,40712.0,38.3,98173.0,1576.0,0.4688,0.8088215756609539,0.04988707320313538,0.0661425996394953,1.9892161829630168,0.18679618859052094,0.25912634574928844,0.5541609353507565,0.2987816859893889,0.13693751228139125,0.07651306740027511,0.08217085160090341,0.006372973641876004,0.004986244841815681,0.1155187659658086,0.008569151056197688,0.002653715201281795,0.0064434701740401215,0.006111332536203003,0.00346491770820443,0.013949780789159028,0.08474159952839458,0.14405167234127778,0.3697681273334643,0.2453168593064966,0.6762683650575378,0.4905678915307526,1793.0,1.0,0.0,0.0,0.0
78758-2016-09,Austin,TX,1254.0,896.0,45105.0,29.8,41792.0,1571.0,0.43,0.35922927129240545,0.25299784769908784,0.09855272226050998,1.4890727532097003,0.2656764283905815,0.0909781416153262,0.5830395743265714,0.17237556811883384,0.0565569227358386,0.1355282119498947,0.10192682176898638,0.05401299687737362,0.21039796031482094,0.08881498725196763,0.0,0.003445899379738112,0.003997130265450446,0.0024597724710464287,0.025951557093425604,0.08229988726042843,0.23895355282119501,0.05810874532989953,0.4326349628644274,0.6389771446141231,0.3250784593437946,0.6112182684846469,1406.0,1.0,1.0,1.0,0.0
2840-2016-09,Newport,RI,1871.0,1710.0,23438.0,39.2,57953.0,1546.0,0.4567,0.4832942555685815,0.4061400937866354,0.0505381709316416,1.4686643522748035,0.6067598310042249,0.09798505037374064,0.5485109650994112,0.2424268282276645,0.1344397986176295,0.13563443979861764,0.19797772567409144,0.020068248293792654,0.0739824217083369,0.1173308302756208,0.004396248534583822,0.039917314135006064,0.0028575615474794843,0.5795720984759671,0.12967175820604485,0.03157971864009378,0.10086184828057003,0.0866063154893435,0.58230224421879,0.4494431418522861,0.3360131554905902,0.5985578974315214,1076.0,1.0,0.0,2.0,0.0
