RegionName,City,State,Rent,Current Rent,total_pop,median_age,median_income,households_retirement_income,gini_index,dwellings_1_units_perc,dwellings_under_10_units_perc,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_commuter_by_public_transport,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,armed_forces_perc,mobile_homes_perc,housing_built_1939_or_earlier_perc,walk_to_work_perc,dwellings_50_or_more_units_perc,poverty_perc,employed_in_finance_information_perc,housing_per_pop,renter_occupied_units_perc,married_households_perc,pop_in_labor_force_perc,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
4901-2016-09,Waterville,ME,802.0,721.0,26281.0,40.4,39172.0,1988.0,0.4621,0.5542308329193575,0.3106474581884418,0.12075500889610892,1.5313080639167596,0.5240838685304118,0.08330185115224782,0.501997640881245,0.14234618165214413,0.061375137932346564,0.2552794794718618,0.10879284649776454,0.0027389497544389875,0.050835204139872914,0.11837449107720405,0.0015731081304851794,0.0025527964724994198,0.07567478059281338,0.3537009438648783,0.07593502077823952,0.009521443947673456,0.142802785282143,0.046182408911580416,0.4595715535938511,0.3614836893525418,0.4405425492382014,0.4918762604162703,781.0,3.0,0.0,2.0,0.0
53403-2016-09,Mount Pleasant,WI,876.0,836.6564362500003,27413.0,35.1,37054.0,2158.0,0.484,0.5409447531873162,0.2895554102647924,0.11635032132715588,1.4721082089552242,0.38332594235033257,0.1361419068736142,0.5177835333600846,0.12074563163462593,0.03833947397220297,0.2045015138802758,0.12389669826740765,0.04638580931263858,0.08682012184000291,0.052639258745850515,0.0,0.0,0.007355344883949003,0.4433638443935927,0.027139689578713967,0.07298136645962733,0.22047933462225952,0.029293080257061725,0.4463575675774268,0.3982510624387055,0.376679104477612,0.4881625506146719,588.0,1.0,0.0,1.0,0.0
33612-2016-09,Tampa,FL,977.0,815.0,44965.0,32.6,28632.0,2094.0,0.5067,0.4753719485772064,0.1944243824931388,0.21242022360023535,1.3016250725478815,0.2278035990942677,0.1191753068764152,0.5159346158122985,0.10663849660847326,0.03349271655732236,0.210052262871122,0.17039818960951414,0.058336312716005236,0.0655176248193039,0.15636606249305016,0.0,0.0015842121939075725,0.04497087004670422,0.015407578602725215,0.04242640924800381,0.12894217343155664,0.3290559323918603,0.07572534286878196,0.4618925831202046,0.4996388848764986,0.2890887986070807,0.4913377071055266,1263.0,4.0,0.0,0.0,0.0
11432-2016-09,New York,NY,1910.0,1510.0,58705.0,37.1,50130.0,2171.0,0.4738,0.28190243405642124,0.2453915877380589,0.12561392096275814,0.821554581417727,0.0978328900015647,0.5616491941793147,0.5331402776594839,0.20410527212332846,0.09106549697640746,0.15049825398177327,0.04745900804562583,0.579486778281959,0.08997530022996338,0.02473383868495017,0.007689174050310622,0.0,0.002138710663000305,0.29229045727670844,0.0813644187138163,0.3557388736123841,0.18310195043011668,0.09286062774434868,0.3345200579167021,0.5664018739179143,0.47808189885598207,0.5237202963972405,1269.0,1.0,3.0,0.0,0.0
80214-2016-09,Lakewood,CO,1173.0,855.1460812500003,24808.0,33.3,34235.0,1182.0,0.4596,0.4691816298342542,0.2289364640883978,0.11193339500462536,1.3488764044943822,0.20925925925925928,0.12907407407407406,0.5523218316672042,0.13616575298290873,0.047605611093195735,0.1861496291518865,0.07803867403314918,0.1074074074074074,0.07747500806191551,0.20827958722992584,0.005006906077348066,0.0,0.016488259668508292,0.13544544198895028,0.015648148148148147,0.05214088397790055,0.233352144469526,0.07076780758556891,0.4669461464043857,0.5931457182320442,0.3010299625468165,0.5228958400515963,749.0,0.0,3.0,1.0,0.0
60804-2016-09,Cicero,IL,1326.0,1232.0,83924.0,28.0,45656.0,1676.0,0.3858,0.405207023804696,0.513321708098463,0.13244319747488664,1.6683797421042796,0.14125306098070836,0.24248939855461984,0.4987131213955484,0.0603879700681569,0.007482960774033648,0.1936513988847052,0.13200048663773875,0.10649226542435644,0.07598541537581621,0.050426576426290455,0.0,0.001979007490167589,0.0009732754775132812,0.682671641185774,0.034969838141312784,0.004055314489638672,0.18707401935084125,0.045642425912472764,0.29382536580715884,0.4122632710166673,0.5381237151934218,0.475656546399123,876.0,0.0,3.0,1.0,0.0
21117-2016-09,Owings Mills,MD,1208.0,1146.35799,55580.0,35.5,80603.0,2846.0,0.4207,0.5383739563127267,0.0877962385088977,0.05874547647768396,1.6954105414126928,0.16637282159083205,0.2471011053095545,0.5713925872616049,0.2467254408060453,0.1517632241813602,0.10032385750269883,0.0591211942312558,0.07784634162880585,0.027311982727599857,0.11444764303706367,0.00042169182761238083,0.004433051869722557,0.0,0.026440077591296282,0.016071065301417237,0.07771780382896179,0.061209068010075564,0.11170084439083232,0.42666426772220223,0.41216159230834093,0.4717640731444962,0.5966174883051457,1547.0,0.0,1.0,1.0,0.0
98029-2016-09,Issaquah,WA,2078.0,1651.1252984999999,25583.0,36.6,95859.0,1376.0,0.3713,0.6285875070343275,0.17445132245357345,0.061362301820317086,1.7074748681198368,0.16677931733693815,0.15469753295032104,0.5676425751475589,0.3252159637259117,0.15447758276980808,0.062463354571395076,0.057681485649971866,0.08567083474146671,0.010944768010006644,0.15193683305319938,0.006752954417557681,0.002935995302407516,0.0,0.002626148940161321,0.030669144981412638,0.0760645282311011,0.044482664269241294,0.13799177921315325,0.4167611304381816,0.30932282873757266,0.6064496864735742,0.5325411406011805,414.0,1.0,0.0,0.0,0.0
76522-2016-09,Copperas Cove,TX,567.0,668.0,36085.0,31.6,53590.0,3440.0,0.3989,0.7373948165600808,0.1695725345001683,0.08372120083779383,1.8959844778133963,0.282356031256156,0.09554140127388536,0.5403353193847861,0.14831647498960787,0.041707080504364696,0.1820701122350007,0.20201952204644905,0.0009192987064153916,0.03940695579880837,0.13310239711791602,0.006597105351733424,0.12846171747730975,0.040794345338269936,0.010232245035341637,0.01319850285639241,0.0053180747223157175,0.12595261188859638,0.05893646730276938,0.4116668976028821,0.2852911477616964,0.6154040830099544,0.4763198004711099,387.0,0.0,0.0,0.0,0.0
54703-2016-09,Eau Claire,WI,837.5,1135.0,41550.0,32.6,45021.0,2736.0,0.4097,0.6943941140943283,0.21297973974633505,0.06599912583939285,1.815987313520498,0.5272289594404324,0.05086978244084117,0.5093622141997594,0.19415162454873647,0.05037304452466907,0.1955956678700361,0.06517322791412727,0.007630467366126174,0.11395908543922985,0.08697954271961493,0.0024158568055784326,0.003496642428577105,0.0330533135672322,0.2244550595728326,0.02511695508016533,0.02251139296107176,0.17872442839951866,0.07529701593356379,0.4383393501805054,0.33684730686872016,0.4402090919769764,0.6057039711191335,964.0,1.0,0.0,0.0,0.0
