RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
10025-2020-01,New York,NY,3676.0,92805.0,41.3,85930.0,2228.0,29692.0,48.0,2202.0,15.0,0.5968,12890.0,5249.0,0.5486234577878347,12575.0,807.0,3228.0,0.06683924713393152,0.3027201145311382,0.07899179645702056,0.2501723932944953,0.5599698292117882,0.2423684068746296,0.4579925650557621,0.07753892570443402,0.13335676916396122,0.004557944076288993,0.09910026399439684,0.08912235332148052,0.234211518775928,0.7313280228272501,0.08821067792981295,0.08488766769031841,0.05141964333818221,0.0017370086230070927,1145.6888888888889,1.0,6.0,1.0,0.0
60657-2020-01,Chicago,IL,1731.0,70052.0,31.2,92295.0,764.0,12511.0,37.0,1764.0,0.0,0.4956,5318.0,2396.0,0.4944612573516816,12644.0,4836.0,13500.0,0.030637466229809736,0.8532110091743119,0.07519152965481622,0.2541103555134717,0.6801376120596129,0.3889967452749386,0.4307657168960201,0.03498829440986696,0.08182912154031287,0.001384685662079598,0.025281219665391427,0.06897733112544968,0.06996231370981558,0.5531333390720495,0.06535609587859978,0.15796836635642095,0.09131787814766174,0.011482150020056156,1145.6888888888889,2.0,4.0,1.0,0.0
10023-2020-01,New York,NY,3561.0,62435.0,43.3,130452.0,2265.0,28423.0,0.0,1698.0,0.0,0.5604,5014.0,6111.0,0.5651317370064868,11759.0,921.0,3789.0,0.04468479106840933,0.3220847060220224,0.09460994698308507,0.15308634183287048,0.5878273404340514,0.2807239529110275,0.6403619764555137,0.054216385040442065,0.18796394485683987,0.008312645150956996,0.03760711139585168,0.10630255465684313,0.10510130535757188,0.6274614996213077,0.08400203966613885,0.07327620725554576,0.039192760470889716,0.01289405186541984,1145.6888888888889,0.0,5.0,4.0,0.0
77494-2020-01,Katy,TX,1286.0,114989.0,34.9,139669.0,185.0,1861.0,43.0,0.0,0.0,0.3801,4262.0,202.0,0.5157101983668003,30953.0,31555.0,1266.0,0.05042818110135148,2.066125290023202,0.12140722972688632,0.37552076757985103,0.5341554409552218,0.2630599448642913,0.2712955152231953,0.060153579907643334,0.044320056245098834,0.012157684648096773,0.07658123820539356,0.19571437267912584,0.21649896946664465,0.035538442115894464,0.05836832743476428,0.0035568619607092853,0.1225943351103149,0.14231632459911847,1145.6888888888889,1.0,0.0,0.0,0.0
60614-2020-01,Chicago,IL,1916.0,71308.0,30.3,107461.0,1458.0,11437.0,117.0,933.0,5.0,0.5315,5848.0,2800.0,0.4959191114601447,13333.0,7109.0,11061.0,0.02770315992371891,0.9495593139590282,0.08835727870580418,0.2025388969088701,0.6252594379312281,0.35631345711561113,0.4213973186739216,0.03633533404386605,0.07865353488244492,0.0013883435238682895,0.03918213945139396,0.07407303528355864,0.060540191843832386,0.4734080337297496,0.06453134291631636,0.14597240141358614,0.10120884052280248,0.011549751721489122,1145.6888888888889,0.0,3.0,0.0,0.0
77449-2020-01,Katy,TX,1353.0,122814.0,31.6,76163.0,0.0,864.0,776.0,13.0,67.0,0.3444,9083.0,189.0,0.5210725161626525,31672.0,32508.0,1125.0,0.05388898059636538,2.1084278814552317,0.12768898779418705,0.32694382628633084,0.5426010063999218,0.17718663995961373,0.07725503607080626,0.14362369111013398,0.03802166382580965,0.002483430227824189,0.2075170583158272,0.05413063657237775,0.4606559512759132,0.012542990086991706,0.03337485180905503,0.0038024980865373655,0.11806471574901885,0.06438664980480563,1145.688888888889,0.0,0.0,1.0,0.0
10002-2020-01,New York,NY,3538.0,74993.0,43.6,35859.0,580.0,19261.0,8.0,3405.0,0.0,0.5838,20565.0,8385.0,0.5168882429026709,8268.0,314.0,3080.0,0.0700795917801381,0.19147286821705425,0.10578086203603487,0.24667345769402174,0.5780539517021589,0.2040190417772325,0.16578880695531584,0.1546410998359847,0.0611353711790393,0.0066006160574987,0.0699931993652741,0.41133172429426745,0.2718920432573707,0.5699369707773604,0.038547935328212095,0.05160481644953529,0.018041683890496447,0.0011756802149815251,1145.688888888889,0.0,6.0,1.0,0.0
77084-2020-01,Houston,TX,1367.0,107700.0,33.0,65742.0,18.0,2050.0,83.0,161.0,25.0,0.4058,12626.0,759.0,0.5057381615598886,23918.0,26584.0,2244.0,0.06114088159031979,1.9185119320789352,0.13740070652067846,0.30194976286667835,0.5441225626740948,0.18006499535747447,0.08922934076137419,0.14751160631383473,0.06370179396283167,0.006267409470752089,0.14569173630454968,0.10071494893221912,0.4543268337975858,0.01655053964908172,0.03975799481417459,0.013240482822655523,0.10332404828226556,0.02602320335159523,1145.688888888889,0.0,0.0,2.0,0.0
79936-2020-01,El Paso,TX,898.0,112355.0,31.4,54692.0,40.0,965.0,630.0,237.0,1358.0,0.4213,16447.0,465.0,0.5048640469939033,20308.0,30129.0,3750.0,0.05562965729427875,2.0411446469248293,0.2516507274887517,0.06690559202197073,0.5122780472609141,0.15600551822348804,0.07449601708869209,0.15402073783988252,0.05751013069264418,0.002376396244047884,0.022660317742868585,0.010760535801699968,0.8675181344844466,0.0044603728014647155,0.029362072951679738,0.0782430688442882,0.034159583463130264,0.009607385342028284,1145.688888888889,2.0,0.0,0.0,0.0
60640-2020-01,Chicago,IL,1497.0,69715.0,37.3,53831.0,384.0,13173.0,51.0,3854.0,40.0,0.5123,13312.0,1923.0,0.4891486767553611,10642.0,2775.0,13118.0,0.054562085524811337,0.8083731304870028,0.07813114496211426,0.3860412679269028,0.6603026608333931,0.3044538478089364,0.2982428458724808,0.11894140428889048,0.08314105925537492,0.0044897080972531025,0.1658753496378111,0.1086997059456358,0.14256616223194435,0.4827613329487953,0.062199862794420316,0.14837552893925268,0.05734777307609552,0.006948085998951232,1145.688888888889,3.0,5.0,2.0,0.0
