RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
10025-2019-09,New York,NY,3698.0,94382.0,41.7,82352.0,2105.0,28997.0,38.0,1879.0,1203.0,2008.0,60801.0,11824.0,705.0,9232.0,1101.0,3349.0,3156.0,3546.0,1137.0,6417.0,18.0,0.5942,14370.0,4578.0,0.5511644169439088,13668.0,832.0,3209.0,0.0706520697125985,0.2926949654491609,0.07962993171913961,0.23488149891636176,0.5747282320781505,0.25469898921404505,0.4668792778283995,0.0754698989214045,0.1269750071818443,0.007067025492148927,0.09032442626772054,0.09781526138458604,0.240713271598398,0.7453333644053972,0.07705581225914067,0.08738954461655825,0.04354643893962832,0.0009233799811220092,3954.0,1.0,6.0,1.0,0.0
60657-2019-09,Chicago,IL,1806.0,70103.0,31.2,88708.0,617.0,12576.0,54.0,1837.0,450.0,701.0,60743.0,2021.0,98.0,4665.0,1250.0,3194.0,4595.0,3813.0,1119.0,2293.0,17.0,0.4959,6077.0,2453.0,0.4945009486041967,12793.0,4687.0,13636.0,0.029656768222136518,0.8594980715954152,0.07372372046603458,0.2563624134863639,0.6851917892244269,0.393948903755902,0.4289545383221831,0.03801549149109168,0.07853639002903194,0.001925737842888321,0.02827268447855298,0.06560346918106215,0.06784303096871745,0.5476991169642663,0.06835711531045123,0.16432962925980346,0.09175070967005693,0.007333066373010311,3810.0,2.0,4.0,1.0,0.0
10023-2019-09,New York,NY,3521.0,61514.0,42.6,123951.0,2123.0,27968.0,0.0,1890.0,918.0,787.0,49091.0,2266.0,81.0,6762.0,500.0,1725.0,1508.0,1049.0,894.0,4998.0,0.0,0.563,4862.0,6144.0,0.5544591475111357,11992.0,840.0,3537.0,0.03928474668111623,0.3059789333896719,0.09377061539911412,0.15326862061382845,0.6001235491107715,0.2755307734824593,0.643950970510778,0.05428032642975583,0.1954494682142684,0.009347465617582991,0.033488311603862536,0.10847937054979356,0.10940598888058004,0.6519335280997707,0.08108913573557301,0.07326787397990701,0.04810287089117924,0.006871934340245738,4594.0,0.0,5.0,4.0,0.0
77494-2019-09,Katy,TX,1252.0,105854.0,34.8,137600.0,81.0,1472.0,55.0,0.0,1076.0,834.0,72406.0,8180.0,823.0,19161.0,1881.0,1944.0,3006.0,6608.0,1386.0,2600.0,0.0,0.3699,4095.0,142.0,0.5070191017816993,29764.0,29392.0,1170.0,0.04785849150352778,2.050962835765976,0.1445212464589235,0.37559206798866857,0.532762106297353,0.26610236741171805,0.257515067923744,0.05679520849471914,0.039863392804569284,0.00984374704782058,0.0715702760405842,0.1802955013509173,0.21008181079600205,0.025677053824362608,0.0576766371857299,0.004714040092958225,0.12230997411529088,0.09488900665371254,4318.0,1.0,0.0,0.0,0.0
60614-2019-09,Chicago,IL,1952.0,70225.0,30.2,100116.0,1332.0,11656.0,111.0,887.0,545.0,737.0,59686.0,3018.0,43.0,4866.0,1368.0,2285.0,2334.0,3171.0,928.0,2075.0,5.0,0.52,6699.0,3056.0,0.5003773584905661,13274.0,6731.0,11156.0,0.030151594354417145,0.9415914977226044,0.09866985713280316,0.2009759072888076,0.6219579921680314,0.3615948736205055,0.4005695977216091,0.03856176575293699,0.08103302054550926,0.0020790316838732647,0.042093271626913495,0.06846564613741545,0.06719829120683518,0.4641189856194431,0.065405122843701,0.1460306158775365,0.10984692061231753,0.009438349793450606,4457.0,0.0,3.0,0.0,0.0
10002-2019-09,New York,NY,3481.0,77925.0,41.8,35449.0,493.0,18970.0,2.0,3579.0,822.0,1129.0,24502.0,5817.0,516.0,33675.0,916.0,1011.0,2022.0,3300.0,1099.0,4341.0,0.0,0.5725,21214.0,8672.0,0.5134039140198909,8909.0,354.0,3100.0,0.08285599031867688,0.20178715519560084,0.11827753609482378,0.25742386986949123,0.5800577478344562,0.20109079242861727,0.15033686236766122,0.1571639396855951,0.06541351283412004,0.007815206929740134,0.06111004170676933,0.4291690728264357,0.273981392364453,0.5657272555324381,0.044292053247277134,0.04725056143727944,0.020943214629451395,0.0,6007.0,0.0,6.0,1.0,0.0
77084-2019-09,Houston,TX,1307.0,104582.0,33.0,65617.0,16.0,1723.0,38.0,122.0,1291.0,1175.0,60229.0,16849.0,379.0,10975.0,2878.0,1559.0,2968.0,6047.0,1358.0,2924.0,35.0,0.3955,12261.0,799.0,0.4963186781664149,23839.0,25754.0,2388.0,0.058454106280193235,1.9343888724474696,0.13925931876606684,0.2919344473007712,0.5479910500851007,0.17413130366602286,0.0922147214625844,0.14916524832189096,0.062248494435656214,0.003643074334015414,0.1522537339121455,0.10469296819720413,0.4290604501730699,0.017151349614395888,0.04113437108606191,0.012554741733759157,0.09777017077508557,0.008242444425942885,3293.0,0.0,0.0,2.0,0.0
79936-2019-09,El Paso,TX,877.0,111918.0,31.2,52785.0,44.0,888.0,765.0,206.0,1169.0,1389.0,97923.0,3116.0,402.0,1426.0,4358.0,939.0,1455.0,1058.0,660.0,5308.0,1304.0,0.439,15937.0,394.0,0.5069783234153576,21704.0,29734.0,3862.0,0.05471184852906736,2.032920272562606,0.24874975388856074,0.07156920653671983,0.5109365785664505,0.15148590932647116,0.07285691309708894,0.1579281259493558,0.0599983784222048,0.002725209528404725,0.02380314158580389,0.01137439911363677,0.8654371950892618,0.004174050009844457,0.025185105118088958,0.07304455047445453,0.03513286513340124,0.00772952082376152,3824.0,2.0,0.0,0.0,0.0
60640-2019-09,Chicago,IL,1498.0,68258.0,37.4,50488.0,239.0,12986.0,60.0,3682.0,799.0,1086.0,44210.0,11877.0,310.0,7574.0,1026.0,2138.0,3589.0,4309.0,1320.0,2321.0,42.0,0.5137,13808.0,1899.0,0.4800755955345893,10590.0,2600.0,12984.0,0.06556954913619553,0.8096108114378516,0.08306118005660787,0.3949488351839756,0.6696064930118082,0.3093410296229013,0.29426587359723405,0.12347270649594187,0.08727070594774873,0.0034281695918427146,0.1713645286999326,0.10989188080518036,0.13327375545723574,0.4850587851077727,0.06210496746102346,0.1388262181722289,0.06205865979079375,0.002964609968501019,2940.0,3.0,5.0,2.0,0.0
11226-2019-09,New York,NY,2073.0,102585.0,34.1,48495.0,519.0,15928.0,0.0,3091.0,1031.0,1614.0,14638.0,70292.0,177.0,3458.0,559.0,1600.0,4243.0,9196.0,3448.0,3505.0,0.0,0.4795,19255.0,2348.0,0.5535214700004873,21123.0,2704.0,8250.0,0.08441085922194234,0.3898083267442812,0.0511937207020604,0.5527526436280388,0.5602475995515913,0.15966271872106058,0.11232636350343618,0.22377540576107616,0.09087078303547083,0.004211141979821612,0.6529219671491934,0.03336745138178096,0.17765755227372426,0.7661397579853919,0.035152532885530365,0.04582541307208656,0.010381634741921334,0.000743623429095506,2635.0,0.0,8.0,0.0,0.0
