RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
60402-2014-09,Berwyn,IL,1210.0,63734.0,33.3,50697.0,96.0,254.0,14.0,13146.0,537.0,532.0,40968.0,3840.0,397.0,1036.0,1655.0,1123.0,1197.0,2817.0,556.0,3210.0,8.0,0.405,8217.0,1264.0,0.5155333103210218,16610.0,12914.0,8515.0,0.12072787733234805,1.6056800342514628,0.1799541046709601,0.2372492412465764,0.5215112812627483,0.12483133021621112,0.0549785044089497,0.19539021558351896,0.10863757791629564,0.001443499544983839,0.059010889007437166,0.015784353720149368,0.5697429943201431,0.10807609741653712,0.019151425580392883,0.0402140144977563,0.06859760881162331,0.0,814.0,1.0,3.0,0.0,0.0
20850-2016-09,Rockville,MD,1789.0,46711.0,40.3,106006.0,942.0,2378.0,0.0,497.0,469.0,743.0,28104.0,4761.0,87.0,10822.0,1586.0,696.0,1889.0,3092.0,533.0,2799.0,267.0,0.4204,3166.0,732.0,0.5377106034981054,9658.0,11464.0,1297.0,0.05794392523364486,1.6389905500628177,0.19511460886767296,0.3017245086655485,0.561623600436728,0.23709618719359465,0.4234120442722271,0.0753997987626041,0.04496843862486306,0.0027188456680439298,0.0988418145618805,0.2303311853738948,0.10528569287748067,0.1804068292263364,0.0645607476635514,0.037721307614908696,0.10260966367665003,0.009494496322186864,2834.0,3.0,2.0,4.0,0.0
44102-2015-09,Cleveland,OH,769.0,44026.0,33.2,24609.0,0.0,1521.0,27.0,17385.0,380.0,475.0,28252.0,10711.0,121.0,526.0,1441.0,374.0,361.0,770.0,438.0,1693.0,0.0,0.4877,17397.0,567.0,0.5159678371871167,8003.0,10193.0,9209.0,0.1978844046314385,1.1451488423373761,0.2467103211724353,0.11568444028687247,0.5639394903011856,0.09401262890110387,0.055262799254985694,0.2039703811384182,0.2101023296320488,0.0028165175123790486,0.22970517421523645,0.011629491664016715,0.24583200835869715,0.1333956969130028,0.021013008052603997,0.17916685594875756,0.0772498069322673,0.0004354452427607229,624.0,0.0,3.0,0.0,0.0
78729-2017-09,Austin,TX,1233.0,29386.0,33.3,65279.0,0.0,979.0,177.0,46.0,223.0,251.0,22609.0,2576.0,67.0,2564.0,1632.0,464.0,312.0,563.0,278.0,1399.0,37.0,0.3958,2267.0,278.0,0.5099367045531886,5258.0,6527.0,2050.0,0.0377776605286762,1.611512486257264,0.24826621597995224,0.1007051692989102,0.6157353841965562,0.2658068467977949,0.17297352480773154,0.0967807799632478,0.05952732644017725,0.003402981011365957,0.07813244402096238,0.08504049547403525,0.21122303137548493,0.0191736115158226,0.044636732971033606,0.11229837337507656,0.1209419451439461,0.0,493.0,0.0,0.0,0.0,0.0
90255-2016-09,Huntington Park,CA,2383.0,76206.0,30.2,35985.0,0.0,854.0,66.0,6003.0,789.0,727.0,53143.0,342.0,304.0,723.0,1634.0,762.0,2425.0,2562.0,920.0,1287.0,0.0,0.4088,21615.0,1363.0,0.5020602052331837,21580.0,10724.0,4941.0,0.14371011475993534,1.5947110464803145,0.1515678277729491,0.21464865949053955,0.5052226858777524,0.04889378789071727,0.012164396504212268,0.11572579586909168,0.039968976215098234,0.0014697005485132405,0.0025588536335721603,0.008634490722515287,0.9742671180746922,0.12913685899578792,0.025033551532414888,0.031519827835078604,0.07021756817048526,0.0009824198552223374,948.0,1.0,0.0,1.0,0.0
78240-2018-09,San Antonio,TX,1081.0,58287.0,31.3,50853.0,5.0,2418.0,217.0,158.0,459.0,722.0,43905.0,4547.0,203.0,6551.0,3002.0,729.0,534.0,699.0,451.0,3722.0,143.0,0.4274,8329.0,544.0,0.5021359822945082,14888.0,10800.0,4759.0,0.06431988846994709,1.5014547754585703,0.2791190173655231,0.08361569956233235,0.5374097140014068,0.23159538147442826,0.1527441796627035,0.11628665053957145,0.08280476485148515,0.004220495136136703,0.07382435191380582,0.11113970525159984,0.4589016418755469,0.027566003106028518,0.03504324958017807,0.17496182682244754,0.10079434522277694,0.003867574257425743,824.0,4.0,0.0,0.0,0.0
53207-2018-09,Milwaukee,WI,941.0,36917.0,36.4,56719.0,8.0,578.0,21.0,2115.0,394.0,624.0,32796.0,680.0,346.0,661.0,1755.0,493.0,514.0,416.0,275.0,2385.0,7.0,0.3912,4904.0,573.0,0.5100631145542703,7505.0,9986.0,5975.0,0.05587840858292356,1.5271505539076216,0.2840977068793619,0.07387836490528414,0.6320665276160035,0.2383454776932037,0.15691957634694045,0.19722621014708672,0.04926618705035971,0.009616165993986509,0.016821518541593306,0.016902781916190372,0.1584364926727524,0.035044865403788636,0.03410818059901654,0.07365170517647696,0.0510333992469594,0.0,781.0,0.0,0.0,0.0,0.0
6492-2014-09,Wallingford,CT,1152.0,45168.0,42.1,75588.0,33.0,852.0,196.0,3248.0,440.0,739.0,41197.0,636.0,142.0,1255.0,2862.0,679.0,844.0,632.0,403.0,3071.0,0.0,0.4141,2650.0,544.0,0.5088336875664187,7383.0,12313.0,3753.0,0.06827581021129409,1.9634615384615384,0.3201425117699453,0.0799932137252407,0.5496369110874956,0.20611937654976972,0.1550212539851222,0.21741055614594404,0.04777759280839021,0.004095820049592632,0.01343871767623096,0.027785157633722992,0.10175345377258237,0.008906985621580354,0.02864877058425445,0.011756110520722635,0.07458820403825718,0.002330614283336108,1310.0,2.0,0.0,0.0,0.0
11205-2017-09,New York,NY,2902.0,43224.0,29.4,47575.0,389.0,5284.0,0.0,2175.0,159.0,278.0,20506.0,13821.0,76.0,3181.0,685.0,862.0,2091.0,2110.0,583.0,1611.0,18.0,0.5335,14540.0,2458.0,0.5340320192485656,12655.0,913.0,6298.0,0.12943392758684066,0.3648506382418739,0.10904819208068306,0.3595209443584895,0.5126087358874699,0.16067462520821765,0.20086063298167686,0.1265269294836202,0.09916424633987317,0.003609106052193226,0.2907643901536184,0.07273736812881733,0.20657505089764944,0.6647183542490401,0.0530233412975556,0.0911067925226726,0.03114010734776976,0.0,1304.0,0.0,1.0,2.0,0.0
29414-2017-09,Charleston,SC,1321.0,37210.0,37.0,66857.0,141.0,261.0,310.0,120.0,387.0,763.0,29315.0,6584.0,47.0,450.0,834.0,677.0,758.0,397.0,404.0,3140.0,169.0,0.3976,3546.0,174.0,0.5421660843859177,7702.0,11074.0,2832.0,0.06422969440187505,1.7692307692307692,0.12831723436705644,0.11753940010167767,0.6115829078204784,0.3139209889814566,0.1697124428916958,0.1333512496640688,0.06328513865844987,0.0018005912389142704,0.1678043536683687,0.01209352324643913,0.03859177640419242,0.005287239450940518,0.03903362480843775,0.048508465466272514,0.10438054286482128,0.006281109267598957,510.0,1.0,0.0,0.0,0.0
