RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
10308-2015-09,New York,NY,1595.0,28939.0,42.6,88075.0,64.0,29.0,16.0,1141.0,234.0,462.0,27671.0,46.0,33.0,899.0,603.0,327.0,604.0,3150.0,1847.0,2862.0,0.0,0.40299999999999997,1517.0,136.0,0.5209233214692975,5055.0,7657.0,2868.0,0.0714766909188898,1.6611324376199617,0.13544733861834654,0.4652321630804077,0.5606620823110681,0.1646566916617713,0.15601783060921248,0.2696706866166765,0.03563165201295696,0.0003801098863125885,0.0015895504336708248,0.031065344345001557,0.0968589101212896,0.2910532276330691,0.015629210455402855,0.044438301254362635,0.007187532395728947,0.0,443.0,0.0,1.0,0.0,0.0
17602-2015-09,Lancaster Township,PA,880.0,53743.0,34.2,42364.0,34.0,1116.0,37.0,8694.0,395.0,648.0,38879.0,6245.0,110.0,1521.0,2792.0,500.0,332.0,551.0,296.0,2640.0,0.0,0.4486,10293.0,1394.0,0.5032469344844911,10465.0,13721.0,4688.0,0.12952571296794527,1.44613971526254,0.4100225648740128,0.07460511470477624,0.5074149191522617,0.12883538321269747,0.07509815231751113,0.23776119680702604,0.049796353762606674,0.002009564036246581,0.09757549820441733,0.026682544703496267,0.28935861414509795,0.037608123354644606,0.028826197248059036,0.051113633403419984,0.09735221331150104,0.0033941039565554693,1133.0,0.0,0.0,2.0,0.0
55403-2015-09,Minneapolis,MN,1077.0,14804.0,33.0,36849.0,110.0,5521.0,0.0,4339.0,199.0,295.0,11458.0,1817.0,70.0,647.0,1111.0,148.0,111.0,146.0,90.0,941.0,0.0,0.5732,3540.0,2066.0,0.4739935152661443,1154.0,798.0,756.0,0.08484261501210652,0.8818518889668303,0.31443593553548976,0.0648074065607498,0.6434071872466901,0.3474061064577141,0.2629694677114293,0.0978114023236963,0.11877428470505122,0.009456903539583896,0.11827884355579575,0.043704404215077014,0.05228316671169954,0.1485884101040119,0.03515738498789346,0.10618751688732776,0.21271278032964064,0.0006181561285764747,685.0,0.0,0.0,4.0,0.0
17602-2016-09,Lancaster Township,PA,942.0,53836.0,33.8,43420.0,30.0,1095.0,38.0,8393.0,407.0,627.0,37068.0,6681.0,108.0,1489.0,2769.0,499.0,504.0,620.0,322.0,2654.0,0.0,0.4563,11066.0,1534.0,0.5019875176461847,10284.0,13327.0,4701.0,0.11212237093690247,1.4624460730807214,0.398654831625183,0.07791910688140556,0.5070770488149194,0.13457537707110484,0.07823761052084108,0.23250241474106545,0.059953092934623274,0.0020618173712757264,0.10433538895906083,0.02658072665131139,0.2939854372538821,0.03664897510980966,0.030630975143403443,0.04537855709933873,0.10056467791069174,0.0071337828593765265,1133.0,0.0,0.0,2.0,0.0
33407-2018-09,West Palm Beach,FL,1510.0,30311.0,34.0,35495.0,69.0,1412.0,90.0,879.0,284.0,718.0,9501.0,18216.0,59.0,157.0,1214.0,375.0,222.0,667.0,205.0,1064.0,0.0,0.4638,7906.0,397.0,0.511365510870641,7726.0,6404.0,3742.0,0.15165464045782534,1.3822768434670116,0.26725595695618753,0.10099923136049192,0.556926528323051,0.14182969878921844,0.09610372472039852,0.192339414733925,0.1987264919295128,0.012437728877305269,0.5906436607172314,0.0051796377552703644,0.15948005674507604,0.051498847040737886,0.027556606120925604,0.07086536240968626,0.10474745142027647,0.001702946838442174,1188.0,3.0,1.0,0.0,0.0
60644-2016-09,Chicago,IL,1273.0,49615.0,31.5,26299.0,7.0,1056.0,34.0,13160.0,464.0,727.0,1481.0,46687.0,113.0,76.0,350.0,319.0,703.0,2191.0,1001.0,1978.0,0.0,0.4868,17897.0,429.0,0.5535221203265142,10804.0,3840.0,11999.0,0.2449127156285508,0.858880019955101,0.09745269286754003,0.3754002911208151,0.4826362995061978,0.0742920487755719,0.02976922301723269,0.21826060667136954,0.1750604454961675,0.0015116396251133731,0.9338909603950418,0.0015317948201148846,0.0391413886929356,0.3798398835516739,0.02272492511104225,0.14255769424569184,0.028680842487151064,0.0033952363804722464,367.0,2.0,5.0,1.0,0.0
78501-2016-09,McAllen,TX,737.0,62843.0,33.4,32819.0,10.0,1161.0,1328.0,776.0,516.0,779.0,55879.0,316.0,120.0,1030.0,3414.0,177.0,133.0,294.0,354.0,2306.0,21.0,0.5082,21327.0,246.0,0.5247998981589039,15124.0,14413.0,4416.0,0.0799608709829354,1.5921650926897517,0.40829637359770415,0.0453952517610227,0.4749295864296739,0.12316407555336314,0.05139792817020193,0.12889263720700794,0.13153098420413126,0.00015912671260124436,0.0039463424725108606,0.016151361329026302,0.8808936556179686,0.011131402730672231,0.06449041701387631,0.07634899670607705,0.0628391388062314,0.01761846901579587,2160.0,0.0,0.0,2.0,0.0
89104-2016-09,Las Vegas,NV,706.0,39648.0,37.9,34728.0,52.0,661.0,1858.0,121.0,377.0,679.0,27644.0,2548.0,336.0,2451.0,972.0,198.0,303.0,502.0,410.0,2194.0,31.0,0.4366,10583.0,624.0,0.4915758676351897,8251.0,7870.0,2885.0,0.16211919171197045,1.3486025408348457,0.19666178250621136,0.1068994075301013,0.5540506456820016,0.07662429378531073,0.034629741727199355,0.21133474576271186,0.15241201082943634,0.006103712671509282,0.05891848264729621,0.061289346246973374,0.5618442292171105,0.11154997770274576,0.014668171094471228,0.08378732849071832,0.13425645682001613,0.008491262613832144,1053.0,0.0,0.0,0.0,2.0
10001-2014-09,New York,NY,3331.0,20579.0,35.7,76138.0,996.0,8310.0,18.0,4914.0,146.0,207.0,13654.0,1507.0,78.0,3741.0,524.0,285.0,444.0,463.0,101.0,1098.0,0.0,0.5831,2672.0,4212.0,0.5199961125419117,2106.0,42.0,1151.0,0.08708315130333479,0.1878262490678598,0.2168538347697397,0.09837207277792287,0.6209728363866077,0.2936488653481705,0.3915156227221925,0.06759317751105495,0.13990218872765173,0.003352932601195393,0.06579522814519656,0.18144710627338548,0.1600660867875018,0.4878558370331679,0.0636376874908985,0.10267748675834587,0.10972350454346663,0.025895935220075363,7235.0,1.0,9.0,5.0,0.0
11358-2014-09,New York,NY,1899.0,39143.0,41.1,67924.0,171.0,500.0,17.0,5329.0,440.0,616.0,19075.0,685.0,14.0,15853.0,655.0,296.0,1230.0,3872.0,1205.0,2233.0,5.0,0.4355,3725.0,660.0,0.5181769409600695,7141.0,6725.0,6035.0,0.09118072289156627,1.2880358849915434,0.1182489097618249,0.39707033433970707,0.5914978412487546,0.22042255320236054,0.18307232455355998,0.18038985259177887,0.06843403205918619,0.00393429221061237,0.009989014638632705,0.4014766369465805,0.14845566257057455,0.3507771441350777,0.01759036144578313,0.05824796259867665,0.009835730526530927,0.00034251267296889985,1217.0,0.0,2.0,0.0,0.0
