RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
53207-2016-09,Milwaukee,WI,867.0,36790.0,36.1,54889.0,16.0,495.0,41.0,8744.0,26.0,0.3769,4684.0,563.0,0.5191628159826039,7896.0,10109.0,5925.0,0.06748601383198978,1.5215715072516982,0.29353746503753864,0.07277098974434466,0.6312041315574884,0.2320467518347377,0.14908942647458548,0.19548790432182656,0.05663318323519224,0.008861103560750205,0.01772220712150041,0.018646371296547976,0.16773579777113345,0.041660532901516265,0.02330293819655522,0.0862190812720848,0.05232400108725197,0.003175152984643805,751.0,0.0,0.0,0.0,0.0
10314-2014-09,New York,NY,1429.0,87921.0,40.8,79820.0,237.0,1077.0,15.0,3839.0,15.0,0.3967,7144.0,924.0,0.521252033075147,17565.0,20233.0,10000.0,0.06198190516792194,1.5591768957770324,0.1628242074927954,0.4095100864553313,0.5491634535548958,0.17445206492191853,0.15182948328613186,0.2381911033768952,0.05582710811890928,0.007574982086191013,0.03397368091809693,0.13581510674355388,0.1315954095153604,0.26463190987686663,0.020889583629387524,0.04866869121142845,0.006903925114591508,0.0003689015954994005,1409.3741496598639,0.0,0.0,1.0,0.0
80226-2016-09,Lakewood,CO,1372.0,31616.0,35.6,52308.0,36.0,841.0,213.0,255.0,0.0,0.439,5002.0,337.0,0.5010121457489879,6820.0,8104.0,1897.0,0.07518100202722271,1.7637946979038224,0.2498177721820953,0.12921608905970447,0.5246077935222672,0.19407894736842105,0.12636007085020245,0.18032009109311745,0.04229094398110562,0.004934210526315789,0.014264929149797571,0.02688512145748988,0.3140182186234818,0.04625273341726857,0.03955980306979438,0.07477226720647773,0.14764676113360325,0.0010332865894161932,914.0,0.0,0.0,2.0,0.0
43204-2016-09,Columbus,OH,895.0,39651.0,34.7,40297.0,43.0,233.0,282.0,4403.0,48.0,0.4645,11356.0,156.0,0.5019041133893218,7808.0,13774.0,2900.0,0.08445287392655812,1.5422740524781342,0.2448331636015096,0.048942670580482836,0.5728480996696174,0.1274116667927669,0.07190234798617942,0.2365892411288492,0.1933207902163688,0.004590048170285743,0.10726085092431464,0.02746462888703942,0.06239439106201609,0.02785598753968729,0.019703914440756545,0.10198986154195354,0.05091927063630173,0.0013065746838089266,572.0,0.0,0.0,0.0,0.0
91913-2016-09,Chula Vista,CA,2019.0,43655.0,32.2,84741.0,102.0,1909.0,273.0,103.0,1251.0,0.3569,3303.0,234.0,0.518611842858779,10969.0,10696.0,1073.0,0.06987847222222222,1.9967220612898309,0.14826680672268908,0.17993697478991594,0.5419768640476463,0.23131370976978585,0.11057152674378652,0.093551712289543,0.11052346080824517,0.0004123239033329516,0.06711716870919711,0.2663612415530867,0.43113045470163786,0.0164390756302521,0.0505883487654321,0.0272591913870118,0.06441415645401444,0.031800922158936804,249.0,0.0,0.0,0.0,0.0
28203-2014-09,Charlotte,NC,1192.111111111111,11921.0,31.9,65225.0,192.0,1918.0,13.0,1506.0,0.0,0.5751,1990.0,241.0,0.5440818723261471,2654.0,2674.0,1905.0,0.06477475184525325,1.3701675792268126,0.4642383129331957,0.03627783512756231,0.6511198724939183,0.2817716634510528,0.2998909487459106,0.1080446271285966,0.14377042193493395,0.0,0.2628974079355759,0.01224729469004278,0.028604982803456087,0.048370446836749736,0.05688470348689234,0.16785504571764115,0.13522355507088332,0.014206563432305724,1409.374149659864,1.0,4.0,0.0,0.0
46205-2014-09,Indianapolis,IN,720.0,26351.0,33.3,36602.0,41.0,310.0,56.0,6520.0,6.0,0.4904,5674.0,235.0,0.5182725513263253,4832.0,9314.0,2801.0,0.16010605751580664,1.3771156558533146,0.2257430816535702,0.06867099419200548,0.5721225000948731,0.17407309020530531,0.11441691017418695,0.16860840195817994,0.2173313095073824,0.001821562749041782,0.5313270843611249,0.010398087359113508,0.03407840309665668,0.04851383669285958,0.024270854578829288,0.17748852035975865,0.043945201320633,0.003035738926452325,1409.374149659864,0.0,0.0,0.0,0.0
33401-2016-09,West Palm Beach,FL,1495.0,26233.0,39.9,41535.0,158.0,6528.0,46.0,1500.0,20.0,0.5428,5517.0,981.0,0.531696717874433,2696.0,4168.0,2289.0,0.07463454051274516,1.2152518241680017,0.3695344308727208,0.057709329084793766,0.5041360118934167,0.19727061334959786,0.13993824572103838,0.1837761597987268,0.309195967543644,0.008843822666107575,0.3460526817367438,0.02172835741241947,0.1603705256737697,0.039918569658346614,0.07720561228237714,0.12488087523348455,0.1406244043761674,0.0022129333661175315,1882.0,1.0,1.0,1.0,1.0
11208-2016-09,New York,NY,2233.0,92262.0,30.9,34527.0,83.0,4995.0,102.0,13818.0,36.0,0.5084,30863.0,1150.0,0.5371984132145412,21775.0,4354.0,23110.0,0.11322965487856837,0.4769469331495521,0.03357723073107211,0.4637564333105971,0.5080314755804123,0.07941514382952895,0.03316641737660142,0.2760074570245605,0.17009837565774422,0.009277925906657129,0.4955994884134313,0.04692072575925083,0.4080553207170883,0.7373969120109134,0.016244141457179378,0.05054085105460536,0.008378313932063038,0.007921528254404026,828.0,0.0,8.0,0.0,0.0
44122-2017-09,Shaker Heights,OH,1012.0,34171.0,45.2,75216.0,49.0,2311.0,23.0,1386.0,0.0,0.5305,2380.0,164.0,0.5439407684878991,6247.0,10159.0,1136.0,0.05355340497536069,1.6394894119383163,0.24822695035460995,0.06997635933806147,0.4948933306019725,0.20704691112346726,0.33642562406719145,0.1119662872025987,0.09718891553423928,0.004418951742705803,0.32112024816364754,0.06452840127593573,0.01963653390301718,0.048294495103005736,0.04951611945615389,0.02107049837581575,0.09168593251587603,0.0,1929.0,6.0,8.0,2.0,0.0
