RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
30309-2014-09,Atlanta,GA,1255.0,21069.0,34.9,69701.0,642.0,7375.0,0.0,2566.0,18.0,0.5361,1930.0,1029.0,0.4645213346623001,2672.0,2835.0,1751.0,0.03795165063685989,1.2474139262004014,0.3000375234521576,0.07031894934333957,0.7267074849304666,0.37092410650719065,0.4304902937965732,0.05728795861217902,0.14297055904730402,0.0074517062983530296,0.1428164602021928,0.053490910816839904,0.04024870663059471,0.06559099437148218,0.08838055627761893,0.13640894204755802,0.13208980018035976,0.003175653324512074,661.6666666666666,2.0,2.0,2.0,0.0
34205-2014-09,Bradenton,FL,1075.0,29971.0,40.6,38274.0,83.0,2226.0,1349.0,1454.0,56.0,0.4392,5384.0,291.0,0.504454305828968,6743.0,9117.0,1870.0,0.13781447051940454,1.4308060654429369,0.375734170086089,0.08383618955668196,0.5336491942210804,0.1502786026492276,0.07660738714090287,0.257115211370992,0.2205772580243842,0.0007674084948783824,0.09132161089052752,0.005138300357011778,0.18604651162790695,0.020355619921152143,0.03510368588701813,0.08331387007440526,0.1070034366554336,0.0,661.6666666666666,0.0,0.0,0.0,0.0
30341-2015-09,Chamblee,GA,1118.0,30139.0,33.3,52423.0,11.0,1211.0,115.0,88.0,0.0,0.4634,5739.0,334.0,0.4581771127111052,8102.0,6624.0,3281.0,0.07254637786299098,1.4945206591444111,0.1563215620103652,0.11992286368566953,0.62951657321079,0.2325890042801685,0.2014665383722088,0.11413782806330668,0.13889277226338598,0.012508709645310064,0.16463718106108366,0.08503931782739972,0.27164139487043365,0.10642400867783536,0.05492797181055031,0.027273632170941302,0.1355054912239955,0.002376625192227037,1447.0,0.0,1.0,2.0,1.0
60610-2016-09,Chicago,IL,1961.0,38482.0,33.7,75700.0,1049.0,17224.0,0.0,4616.0,0.0,0.5594,6875.0,5099.0,0.5560781664154669,4231.0,2167.0,2960.0,0.06297739672642244,0.6871671991480298,0.1762056414922657,0.15982711555959964,0.6413647939296294,0.3288550491138714,0.4306688841536303,0.06849955823501896,0.12348800124460348,0.00584688945481004,0.16137414895275715,0.06239280702666181,0.049243802297177904,0.3583257506824386,0.06648480124707716,0.11948443428096253,0.1090379917883686,0.0045116876045272454,1914.0,0.0,3.0,1.0,0.0
4103-2014-09,Portland,ME,1313.0,30639.0,40.2,53954.0,15.0,654.0,40.0,5028.0,48.0,0.4213,4132.0,713.0,0.5161395606906231,5164.0,9011.0,3651.0,0.04948935245545415,1.5495662489804998,0.4172679466797114,0.04316986669927846,0.5856261627337707,0.2604523646333105,0.2051633538953621,0.1470021867554424,0.0524799775186174,0.001860374033095075,0.047684323900910604,0.04099350500995464,0.041646267828584486,0.02274672862908157,0.04764232942199044,0.06687555076862822,0.1019615522699827,0.0008430518476886329,661.6666666666666,0.0,0.0,4.0,0.0
32714-2016-09,Altamonte Springs,FL,1099.0,34729.0,37.2,48026.0,33.0,543.0,270.0,53.0,0.0,0.444,4593.0,286.0,0.5325520458406519,5339.0,8311.0,2854.0,0.11781755313739448,1.6023334953816235,0.25165684830633284,0.10634511536573392,0.5860520026490829,0.22001785251518904,0.1266952690834749,0.1875665870022172,0.2966719854114429,0.0011517751734861355,0.14316565406432666,0.0271818940942728,0.2878286158541853,0.0007977417771232204,0.03874707617207363,0.04863370670045207,0.1006939445420254,0.002564394802826533,1223.0,1.0,0.0,2.0,0.0
2062-2016-09,Norwood,MA,2037.0,28844.0,40.6,79963.0,31.0,443.0,17.0,2896.0,0.0,0.4332,2324.0,242.0,0.5217722923311607,6451.0,6185.0,3297.0,0.06328105856407744,1.6170523961111594,0.2714373843306601,0.2659538008088286,0.5484329496602413,0.2487519068090417,0.2079115240604632,0.18385106087921232,0.03687437852171031,0.019484121481070583,0.04014699764249064,0.0625086673138261,0.047462210511718214,0.10528480361916512,0.022788532222494492,0.032797115517958685,0.0792885868811538,0.005220417633410673,1270.0,1.0,3.0,1.0,0.0
30043-2017-09,Lawrenceville,GA,1230.0,86259.0,35.1,65376.0,10.0,539.0,655.0,137.0,114.0,0.3776,7407.0,156.0,0.5096627598279599,16639.0,23462.0,1206.0,0.08339927899410886,2.017861188731969,0.21266153243701866,0.265552799895575,0.5527191365538668,0.2249272539677019,0.10256321079539528,0.1463963180653613,0.07181662051803303,0.005935612515795453,0.22425486036239695,0.12965603589190694,0.17795244554191447,0.0129748074663882,0.06396729095225534,0.0001738948979236949,0.12784752895350052,0.0016122813781500823,1757.0,0.0,0.0,3.0,0.0
10977-2016-09,Ramapo,NY,2009.0,60650.0,28.1,60941.0,94.0,1302.0,18.0,1438.0,15.0,0.4782,14887.0,1625.0,0.5065292662819456,22755.0,8135.0,4242.0,0.11128964649993013,1.4924303865909705,0.28646007350484465,0.19917307049782826,0.4575432811211872,0.12616652926628194,0.08723825226710635,0.14641384995877987,0.06738102741884652,0.006001648804616653,0.2901071723000824,0.039208573784006585,0.22666117065127786,0.1394503842298697,0.027211121978482602,0.04305028854080791,0.052860676009892825,0.024519382288055468,1217.0,0.0,1.0,1.0,0.0
78701-2017-09,Austin,TX,2019.0,7051.0,33.5,96455.0,93.0,4539.0,14.0,130.0,0.0,0.5194,788.0,911.0,0.43582470571550136,433.0,239.0,225.0,0.03406097101994731,1.2746220797068255,0.4320645905420992,0.010380622837370242,0.7773365480073748,0.3863281803999433,0.4917033044958162,0.044249042688980285,0.2442444175177428,0.0018437101120408453,0.03758332151467877,0.09445468727840024,0.14054744007942135,0.027450980392156862,0.13567933759879566,0.1964260388597362,0.1642320238264076,0.006058507876060239,2681.0,3.0,1.0,3.0,22.0
