RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later
30458-2015-09,Statesboro,GA,679.0,41829.0,23.2,27908.0,44.0,267.0,1592.0,828.0,73.0,0.56,16063.0,533.0,0.50852279518994,6693.0,8230.0,4251.0,0.09470649895178197,1.7929772234273318,0.589326125220015,0.11088760372139804,0.3647708527576562,0.10550096822778456,0.09596213153553755,0.11341413851634034,0.13034251016919177,0.011738267709005714,0.31846326711133427,0.021922589590953643,0.04262592937913887,0.018481267286899673,0.051834381551362683,0.06062779411413134,0.1978770709316503,0.013264163178683015
27701-2018-09,Durham,NC,1212.0,22595.0,32.2,31094.0,15.0,1124.0,105.0,1317.0,13.0,0.5451,7213.0,503.0,0.5039167957512724,5818.0,5389.0,2633.0,0.09596305165925419,1.19281462585034,0.2912344925767745,0.1354484441732764,0.5779154680238991,0.15401637530427087,0.20261119716751494,0.12405399424651471,0.11827553889409559,0.0027882274839566277,0.44558530648373534,0.022659880504536403,0.19013055985837574,0.12517795403701443,0.04344851180294218,0.1918123478645718,0.08807258242974109,0.017150890346766635
6112-2015-09,Hartford,CT,1080.0,23298.0,28.2,30199.0,39.0,134.0,14.0,3184.0,0.0,0.4836,6642.0,326.0,0.546227143960855,5132.0,2394.0,6210.0,0.2526012634708287,0.9810483870967742,0.22506666666666666,0.14093333333333333,0.4252296334449309,0.06519872950467852,0.019958794746330156,0.20134775517211778,0.21228163049232399,0.0022748733796892438,0.763241479955361,0.0113314447592068,0.14220104730019745,0.24253333333333332,0.021088814567075436,0.10730534809854923,0.049532148682290326,0.0
73071-2019-09,Norman,OK,873.0,40693.0,28.4,48414.0,0.0,524.0,272.0,371.0,177.0,0.4424,9451.0,224.0,0.4790750251886074,8261.0,11632.0,4000.0,0.05404591968354975,1.7898386206050194,0.3392840231082489,0.12349654323326073,0.48622613225861944,0.1769837564200231,0.1532450298577151,0.1073894773056791,0.11163804851458163,0.031086427641117638,0.06644877497358267,0.04968913572358882,0.08728773990612636,0.007434416137891846,0.018101298477943072,0.13540412355933454,0.11979947411102647,0.011447260834014717
91733-2014-09,South El Monte,CA,2372.0,43902.0,31.4,41592.0,15.0,68.0,618.0,564.0,5.0,0.3771,9983.0,1012.0,0.5092706482620382,10735.0,7487.0,1406.0,0.08672468434025857,1.943298969072165,0.19278885872772336,0.2561076360202998,0.5262630404081818,0.06815179262903741,0.014669035579244682,0.1410869664252198,0.03978678850180849,0.006628399617329507,0.002870028700287003,0.169764475422532,0.7860006377841556,0.05405405405405406,0.04990190653453393,0.01847296250740285,0.05341442303311922,0.0034266133637921186
90039-2017-09,Los Angeles,CA,2514.0,28149.0,39.1,70560.0,527.0,639.0,38.0,1407.0,0.0,0.4808,2889.0,216.0,0.4970691676436108,4248.0,7609.0,2874.0,0.07736625514403292,1.6813772612077253,0.1580252315321228,0.22686501859549332,0.6362925858822693,0.29503712387651426,0.20750293083235638,0.11098085189527158,0.08036647110825364,0.0025222920885288997,0.023872961739315784,0.17894063732281787,0.37962272194394114,0.050900605265076934,0.10005878894767783,0.050445841770577995,0.03445948346300046,0.0
98012-2014-09,Bothell,WA,1453.0,51109.0,36.8,89647.0,203.0,1064.0,677.0,319.0,210.0,0.3586,2677.0,245.0,0.5116320021913948,12890.0,15174.0,1715.0,0.07174106348924061,1.9363295880149813,0.14400231395396884,0.2256105119623156,0.5864720499324972,0.27140034044884465,0.17435285370482695,0.11753311549824884,0.049273409681455105,0.0067698448414173626,0.018196403764503318,0.18667944980336143,0.06497877086227474,0.07355067972397834,0.05345900764716344,0.017315932614607996,0.12271811226985463,0.010441728418823982
63376-2017-09,Saint Peters,MO,1037.0,72711.0,39.1,73993.0,44.0,263.0,413.0,96.0,3.0,0.3676,3091.0,237.0,0.5220805655265366,15756.0,24096.0,2322.0,0.05316838228350175,2.0254103080909878,0.221694861324707,0.1070159622421382,0.5640549572966951,0.22956636547427486,0.1474604942855964,0.17795106655114082,0.02730709984595995,0.0017053815791283299,0.04355599565402759,0.016751248091760533,0.033818816960294866,0.002757596648459458,0.042898290679006516,0.022637565155203477,0.07386777791530855,0.0024506371656630725
78660-2016-09,Pflugerville,TX,1258.0,77046.0,33.7,75138.0,0.0,590.0,1403.0,79.0,136.0,0.3664,8265.0,203.0,0.5204942501881993,21067.0,21614.0,1397.0,0.066982962114661,1.9517877557456538,0.19838926174496643,0.14064429530201342,0.5736572956415648,0.22216597876593205,0.12903979440853516,0.1293253381097007,0.03382212911826319,0.003296731822547569,0.14290164317420762,0.09091971030293591,0.295680502556914,0.006013422818791947,0.04375160679645687,0.01625003244814786,0.11304934714326506,0.039840030470386596
2113-2016-09,Boston,MA,2613.0,7360.0,29.6,69398.0,71.0,250.0,0.0,3241.0,0.0,0.4789,995.0,2802.0,0.5122282608695652,498.0,59.0,3152.0,0.021708185053380784,0.5559490084985835,0.23023474178403755,0.09201877934272301,0.680570652173913,0.42703804347826085,0.3052989130434783,0.075,0.06634339872162222,0.0016304347826086956,0.005434782608695652,0.034103260869565215,0.03315217391304348,0.22572769953051644,0.028469750889679714,0.15054347826086956,0.20815217391304347,0.0
92123-2015-09,San Diego,CA,1943.0,28943.0,32.1,71412.0,21.0,973.0,18.0,22.0,1367.0,0.3709,2780.0,262.0,0.49144870953252945,7697.0,6581.0,1410.0,0.08988238438920075,1.8528171713300114,0.35251694793018895,0.044569450454348764,0.5589607158898525,0.20764951801817366,0.13844452890163425,0.14694399336627165,0.051186471497408854,0.010330649898075528,0.06851397574543068,0.1527830563521404,0.21179559824482605,0.020914467041684696,0.043504410585404975,0.10873095394395882,0.12331133607435305,0.016092372033821255
10306-2015-09,New York,NY,1747.0,55902.0,41.4,75807.0,301.0,1726.0,75.0,3065.0,63.0,0.4291,3524.0,644.0,0.5192479696611928,10240.0,14199.0,5098.0,0.0781010719754977,1.540436519536198,0.14024697580645162,0.4301915322580645,0.5396765768666595,0.18435834138313478,0.14375156523916854,0.2266645200529498,0.060809883321894305,0.00046509963865335764,0.02781653608099889,0.0530571357017638,0.13919001109083753,0.2994791666666667,0.018003212191386845,0.04881757361096204,0.0038639046903509713,0.0022878059940517046
47401-2016-09,Bloomington,IN,1273.0,42375.0,29.6,49947.0,76.0,685.0,244.0,1711.0,31.0,0.5433,9234.0,2021.0,0.49312094395280237,6368.0,11203.0,3737.0,0.05818797188232231,1.6425387142186767,0.45510897820435914,0.06743651269746051,0.44214749262536873,0.1808141592920354,0.2952448377581121,0.08311504424778761,0.08814719726144629,0.005191740412979351,0.031174041297935103,0.0831858407079646,0.023551622418879058,0.05728854229154169,0.0413954699297058,0.13628318584070798,0.13557522123893806,0.01251604621309371
33771-2017-09,Largo,FL,1100.0,28269.0,50.6,35509.0,53.0,811.0,6839.0,85.0,6.0,0.4485,5632.0,235.0,0.5398139304538541,3542.0,4020.0,2663.0,0.09653114509511376,1.227799805491135,0.2900398406374502,0.08959716688800354,0.4932611694789345,0.16643673281686652,0.08157345502140154,0.29806501821783576,0.22121883010953158,0.001591849729385546,0.050443949202306416,0.02762743641444692,0.13834942870281935,0.017175741478530324,0.03580753450205147,0.037426155859775725,0.1283384626269058,0.0010487065951992542
14217-2014-09,Tonawanda,NY,810.0,23048.0,42.2,50188.0,0.0,873.0,33.0,4835.0,11.0,0.4163,1917.0,243.0,0.5141877820201319,4005.0,6239.0,3419.0,0.058183211958604826,1.4314454614797865,0.3644497978146778,0.03501677707992773,0.5430839986115932,0.21368448455397432,0.1849184311003124,0.20049461992363762,0.05128900949796472,0.007766400555362722,0.020609163484901077,0.00898125650815689,0.033191600138840684,0.023143766669534542,0.023073974702951323,0.02165046858729608,0.07731690385282888,0.0
2446-2016-09,Brookline,MA,2822.0,28796.0,33.6,79289.0,1518.0,3759.0,0.0,7935.0,0.0,0.5384,4188.0,3348.0,0.5867828865120156,5026.0,1866.0,5795.0,0.05437436722053481,0.8721961398017736,0.1381785860795843,0.1675099138520443,0.550840394499236,0.22746214752048896,0.5587928879010974,0.04076955132657314,0.0967285945072698,0.0024308931796082787,0.016182803167106543,0.16842617030143076,0.06493957494096403,0.30753452755367156,0.060032160085760226,0.05462564245034032,0.12581608556743992,0.0026252019386106625
