,RegionName,City,State,2020-01,total_pop,households,male_pop,female_pop,median_age,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_pop,population_1_year_and_over,population_3_years_over,pop_16_over,pop_25_years_over,pop_25_64,not_us_citizen_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,hispanic_any_race,not_hispanic_pop,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,median_income,income_per_capita,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,pop_determined_poverty_status,poverty,gini_index,housing_units,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,median_year_structure_built,married_households,nonfamily_households,family_households,households_public_asst_or_food_stamps,male_male_households,female_female_households,children,children_in_single_female_hh,median_rent,percent_income_spent_on_rent,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,different_house_year_ago_different_city,different_house_year_ago_same_city,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_less_10_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_44_mins,commute_60_more_mins,commute_45_59_mins,commuters_16_over,walked_to_work,worked_at_home,no_car,no_cars,one_car,two_cars,three_cars,four_more_cars,aggregate_travel_time_to_work,commuters_by_public_transportation,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,group_quarters,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,less_than_high_school_graduate,high_school_including_ged,bachelors_degree_2,bachelors_degree_or_higher_25_64,graduate_professional_degree,some_college_and_associates_degree,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,employed_pop,unemployed_pop,pop_in_labor_force,not_in_labor_force,workers_16_and_over,armed_forces,civilian_labor_force,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,management_business_sci_arts_employed,sales_office_employed,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college
365,98109,Seattle,WA,2120.0,29154.0,16400.0,15595.0,13559.0,31.5,431.0,510.0,189.0,77.0,94.0,27.0,67.0,1119.0,4415.0,2558.0,1561.0,1015.0,558.0,619.0,384.0,235.0,126.0,292.0,149.0,120.0,379.0,503.0,244.0,212.0,42.0,82.0,22.0,214.0,1432.0,3292.0,2293.0,1091.0,696.0,447.0,535.0,483.0,280.0,290.0,229.0,151.0,415.0,169.0,185.0,252.0,19230.0,28881.0,28568.0,27037.0,23889.0,21187.0,5756.0,1003.0,5649.0,1266.0,94.0,46.0,1786.0,1266.0,27888.0,84.0,50.0,171.0,71.0,58.0,85.0,816.0,830.0,102292.0,74081.0,593.0,158.0,184.0,272.0,514.0,412.0,296.0,312.0,509.0,1052.0,1296.0,2360.0,2261.0,1759.0,2038.0,2384.0,28989.0,2213.0,0.4242,18094.0,1748.0,375100.0,660700.0,980900.0,16400.0,12318.0,1694.0,509.0,111.0,2242.0,564.0,239.0,675.0,1298.0,1899.0,3912.0,7265.0,0.0,1113.0,1707.0,521.0,1989.0,4402.0,11319.0,5081.0,479.0,86.0,46.0,2208.0,270.0,1672.0,22.4,254.0,1218.0,744.0,489.0,1030.0,1476.0,2095.0,2938.0,1525.0,549.0,4082.0,662.0,2856.0,4972.0,4186.0,1103.0,973.0,392.0,487.0,11.0,83.0,130.0,111.0,111.0,1362.0,3077.0,3392.0,3778.0,1722.0,2965.0,915.0,970.0,1004.0,19185.0,5817.0,1690.0,3601.0,3557.0,9252.0,3161.0,285.0,145.0,459315.0,4527.0,4326.0,7775.0,1013.0,72.0,6762.0,578.0,1066.0,9616.0,1015.0,713.0,6505.0,1925.0,523.0,1273.0,9616.0,16689.0,8773.0,3704.0,297.0,557.0,647.0,87.0,31.0,198.0,414.0,2231.0,21138.0,814.0,22006.0,5031.0,20875.0,54.0,21952.0,0.0,1930.0,439.0,2598.0,1510.0,1395.0,1165.0,596.0,357.0,4615.0,5828.0,465.0,240.0,15246.0,247.0,596.0,3312.0,1737.0,15246.0,3312.0,383.0,338.0,179.0,3808.0,973.0
1037,90035,Los Angeles,CA,3073.0,28085.0,12329.0,13035.0,15050.0,36.8,1040.0,704.0,676.0,396.0,103.0,64.0,69.0,464.0,967.0,1618.0,1234.0,916.0,905.0,898.0,421.0,246.0,378.0,369.0,197.0,279.0,376.0,822.0,604.0,633.0,463.0,215.0,138.0,146.0,855.0,1560.0,1517.0,1174.0,735.0,953.0,837.0,806.0,336.0,415.0,218.0,257.0,792.0,621.0,376.0,577.0,19718.0,27592.0,26881.0,23324.0,20693.0,16007.0,2695.0,1807.0,2199.0,2985.0,0.0,183.0,1180.0,2985.0,25100.0,167.0,96.0,153.0,64.0,121.0,87.0,1322.0,874.0,79534.0,55360.0,877.0,535.0,234.0,529.0,422.0,405.0,257.0,411.0,309.0,696.0,1232.0,1424.0,1129.0,872.0,1031.0,1966.0,27888.0,3351.0,0.5229,14066.0,1864.0,704400.0,1028600.0,1500200.0,12329.0,8302.0,1737.0,676.0,61.0,3238.0,384.0,1206.0,1613.0,3937.0,2190.0,968.0,499.0,31.0,0.0,146.0,1742.0,1956.0,4334.0,6625.0,5704.0,312.0,81.0,14.0,5338.0,625.0,1751.0,33.6,328.0,2613.0,591.0,642.0,499.0,874.0,915.0,728.0,682.0,430.0,4027.0,1103.0,2866.0,1537.0,1742.0,2065.0,1847.0,1192.0,639.0,16.0,0.0,218.0,69.0,69.0,1425.0,1668.0,1982.0,1767.0,911.0,2902.0,1086.0,839.0,1283.0,13863.0,629.0,1258.0,674.0,1412.0,5372.0,4409.0,932.0,204.0,366100.0,772.0,610.0,12099.0,723.0,154.0,11376.0,273.0,1198.0,7341.0,2427.0,648.0,3102.0,2463.0,1184.0,2506.0,7341.0,10996.0,5353.0,4309.0,166.0,1018.0,846.0,40.0,66.0,334.0,469.0,2939.0,15408.0,725.0,16156.0,7168.0,15121.0,23.0,16133.0,26.0,2321.0,205.0,3061.0,1347.0,1727.0,432.0,863.0,347.0,1172.0,3094.0,383.0,430.0,9752.0,216.0,465.0,3335.0,1640.0,9752.0,3335.0,1076.0,1012.0,1093.0,5636.0,1005.0
1851,75226,Dallas,TX,1436.0,4674.0,1785.0,2565.0,2109.0,34.4,38.0,124.0,86.0,0.0,0.0,0.0,22.0,156.0,389.0,357.0,147.0,84.0,274.0,251.0,331.0,83.0,16.0,37.0,11.0,0.0,0.0,60.0,74.0,118.0,100.0,15.0,0.0,36.0,143.0,374.0,342.0,118.0,139.0,232.0,99.0,97.0,15.0,70.0,26.0,21.0,0.0,0.0,30.0,0.0,1644.0,4655.0,4655.0,4134.0,3702.0,3478.0,999.0,918.0,57.0,1995.0,26.0,0.0,34.0,1995.0,2679.0,0.0,0.0,161.0,157.0,223.0,106.0,151.0,212.0,46891.0,23674.0,133.0,27.0,113.0,60.0,199.0,69.0,48.0,214.0,39.0,204.0,205.0,215.0,179.0,0.0,80.0,0.0,4652.0,1603.0,0.3786,1946.0,1153.0,86200.0,272873.3695652174,455300.0,1785.0,1671.0,161.0,56.0,0.0,180.0,39.0,35.0,15.0,94.0,523.0,238.0,822.0,0.0,60.0,25.0,80.0,1963.0,483.0,1169.0,616.0,169.0,19.0,0.0,600.0,178.0,1036.0,27.9,66.0,321.0,40.0,111.0,233.0,229.0,192.0,261.0,192.0,26.0,114.0,0.0,19.0,593.0,1016.0,105.0,46.0,0.0,46.0,0.0,0.0,59.0,0.0,0.0,300.0,235.0,369.0,565.0,179.0,446.0,103.0,80.0,92.0,2369.0,172.0,154.0,172.0,217.0,872.0,560.0,136.0,0.0,52680.0,168.0,119.0,1926.0,283.0,10.0,1643.0,1053.0,218.0,724.0,424.0,87.0,184.0,662.0,1198.0,539.0,724.0,998.0,274.0,967.0,29.0,151.0,34.0,260.0,192.0,157.0,192.0,1015.0,2557.0,82.0,2639.0,1495.0,2523.0,0.0,2639.0,21.0,395.0,412.0,448.0,202.0,84.0,111.0,61.0,69.0,241.0,328.0,127.0,58.0,1013.0,397.0,367.0,273.0,507.0,1013.0,273.0,196.0,74.0,181.0,869.0,151.0
277,28216,Charlotte,NC,1274.0,51116.0,19911.0,23286.0,27830.0,35.2,1906.0,1542.0,1544.0,1130.0,813.0,349.0,451.0,1019.0,1828.0,1683.0,1787.0,1894.0,1713.0,1667.0,1225.0,225.0,407.0,495.0,301.0,254.0,125.0,1532.0,1825.0,1660.0,1286.0,865.0,378.0,272.0,1271.0,1639.0,2403.0,2025.0,2477.0,2507.0,1720.0,1403.0,750.0,547.0,368.0,600.0,863.0,578.0,444.0,417.0,12020.0,50712.0,49455.0,40412.0,33273.0,28196.0,2219.0,32646.0,1032.0,4077.0,20.0,144.0,1177.0,4077.0,47039.0,70.0,21.0,1906.0,1424.0,275.0,22.0,1035.0,678.0,48647.0,26775.0,1345.0,956.0,1096.0,1017.0,1068.0,1405.0,1082.0,1244.0,985.0,1654.0,1999.0,2229.0,1429.0,950.0,896.0,556.0,50147.0,7238.0,0.4443,21688.0,1079.0,99800.0,135400.0,187000.0,19911.0,9277.0,1777.0,566.0,172.0,15212.0,984.0,409.0,432.0,812.0,1643.0,1482.0,470.0,244.0,675.0,1285.0,490.0,1995.0,6754.0,7901.0,12010.0,2999.0,49.0,46.0,12425.0,5457.0,893.0,33.3,423.0,2386.0,914.0,836.0,845.0,1039.0,1122.0,779.0,595.0,338.0,10634.0,61.0,7985.0,3536.0,3117.0,3996.0,1815.0,1060.0,674.0,76.0,5.0,2181.0,351.0,312.0,1278.0,2359.0,4310.0,5176.0,2126.0,4758.0,1384.0,1199.0,1351.0,23941.0,253.0,1499.0,842.0,1902.0,7924.0,6729.0,2391.0,965.0,618160.0,742.0,742.0,22633.0,2227.0,0.0,20406.0,870.0,2938.0,7271.0,6391.0,2156.0,3018.0,6225.0,3732.0,7413.0,7271.0,9734.0,3538.0,11319.0,482.0,1033.0,475.0,177.0,444.0,1612.0,1310.0,5533.0,25800.0,2533.0,28375.0,12037.0,25440.0,42.0,28333.0,82.0,2358.0,1272.0,5456.0,2629.0,758.0,1718.0,1451.0,721.0,2668.0,2994.0,2846.0,847.0,9444.0,1783.0,3999.0,5727.0,4847.0,9444.0,5727.0,2606.0,2512.0,3216.0,13818.0,3048.0
530,30309,Atlanta,GA,1712.0,24744.0,14400.0,12510.0,12234.0,34.8,613.0,435.0,168.0,239.0,152.0,89.0,20.0,779.0,1866.0,1778.0,1094.0,965.0,1025.0,990.0,748.0,149.0,307.0,352.0,157.0,74.0,32.0,524.0,190.0,284.0,192.0,171.0,187.0,69.0,784.0,2166.0,1750.0,1502.0,662.0,766.0,776.0,585.0,121.0,241.0,210.0,281.0,326.0,258.0,35.0,154.0,16991.0,24465.0,23870.0,22354.0,19848.0,17513.0,1614.0,3757.0,1736.0,1047.0,98.0,79.0,1024.0,1047.0,23697.0,80.0,72.0,246.0,184.0,13.0,59.0,1581.0,902.0,88691.0,85424.0,849.0,486.0,329.0,287.0,373.0,362.0,428.0,403.0,374.0,896.0,1391.0,1777.0,1549.0,1240.0,1027.0,2629.0,24136.0,2154.0,0.541,18129.0,1316.0,206400.0,328700.0,605500.0,14400.0,7586.0,3729.0,687.0,151.0,2361.0,696.0,117.0,509.0,1061.0,1838.0,1948.0,9475.0,124.0,895.0,1071.0,547.0,1992.0,3726.0,10120.0,4280.0,495.0,208.0,58.0,2645.0,546.0,1249.0,24.4,316.0,881.0,508.0,358.0,566.0,1218.0,924.0,1351.0,824.0,640.0,6814.0,414.0,5193.0,2972.0,2703.0,1221.0,1045.0,621.0,411.0,13.0,0.0,176.0,0.0,0.0,1848.0,2485.0,3048.0,2895.0,1003.0,2010.0,1009.0,344.0,790.0,15432.0,1626.0,1710.0,748.0,1233.0,8176.0,4154.0,612.0,225.0,327175.0,842.0,280.0,12683.0,423.0,484.0,12260.0,646.0,901.0,7696.0,1096.0,496.0,4912.0,1469.0,342.0,1280.0,7696.0,13764.0,7664.0,2866.0,239.0,902.0,1364.0,23.0,3.0,218.0,492.0,3241.0,17482.0,480.0,17986.0,4368.0,17142.0,24.0,17962.0,15.0,1684.0,269.0,3210.0,1779.0,650.0,850.0,635.0,503.0,1076.0,5343.0,708.0,760.0,12160.0,182.0,597.0,3363.0,1180.0,12160.0,3363.0,472.0,396.0,444.0,4085.0,1248.0
27,77584,Pearland,TX,1436.0,87986.0,29612.0,43141.0,44845.0,34.6,4073.0,4013.0,3000.0,1688.0,948.0,565.0,415.0,1330.0,2377.0,4373.0,3713.0,3242.0,2913.0,2684.0,2838.0,656.0,744.0,1126.0,656.0,246.0,89.0,3734.0,3246.0,3840.0,1142.0,775.0,148.0,450.0,1414.0,3096.0,4221.0,4538.0,3225.0,3102.0,3016.0,2664.0,882.0,1056.0,704.0,650.0,1209.0,711.0,529.0,493.0,32956.0,86711.0,83297.0,65025.0,57205.0,49392.0,6497.0,19654.0,15211.0,17419.0,123.0,275.0,2348.0,17419.0,70567.0,918.0,742.0,1443.0,915.0,819.0,719.0,2348.0,1925.0,106415.0,44305.0,541.0,353.0,679.0,259.0,679.0,647.0,435.0,1130.0,457.0,1848.0,2282.0,4112.0,3981.0,3180.0,4557.0,4472.0,87549.0,3827.0,0.3904,31208.0,1440.0,172500.0,236700.0,298000.0,29612.0,7986.0,1596.0,667.0,369.0,23099.0,412.0,25.0,78.0,653.0,2275.0,2588.0,622.0,1456.0,1825.0,4484.0,108.0,2003.0,19257.0,7260.0,22352.0,1473.0,73.0,132.0,24736.0,2729.0,1250.0,27.3,214.0,1256.0,620.0,593.0,598.0,1510.0,627.0,1708.0,719.0,141.0,21626.0,6.0,15731.0,7966.0,1681.0,9269.0,8166.0,5597.0,2544.0,25.0,0.0,1103.0,334.0,334.0,2460.0,2555.0,3207.0,4727.0,3639.0,7991.0,5787.0,4978.0,8669.0,44013.0,220.0,1544.0,307.0,244.0,7038.0,14901.0,4912.0,2517.0,1478065.0,63.0,63.0,43396.0,3192.0,0.0,40204.0,354.0,4618.0,17065.0,6317.0,3022.0,7809.0,9480.0,3260.0,7446.0,17065.0,26708.0,12314.0,17120.0,608.0,2864.0,2105.0,125.0,409.0,1596.0,2180.0,9887.0,45976.0,1838.0,47871.0,17154.0,45557.0,57.0,47814.0,1430.0,2149.0,1917.0,16231.0,2474.0,1067.0,4862.0,1514.0,1865.0,3121.0,5188.0,2803.0,1355.0,26649.0,2597.0,4495.0,7315.0,4920.0,26649.0,7315.0,5795.0,5204.0,4141.0,25522.0,4710.0
57,11209,New York,NY,2134.0,67809.0,29297.0,32504.0,35305.0,40.6,2213.0,1670.0,1459.0,618.0,590.0,253.0,431.0,1047.0,3179.0,2953.0,2194.0,2258.0,2408.0,2260.0,2232.0,730.0,844.0,1244.0,802.0,609.0,452.0,2094.0,1748.0,1733.0,988.0,583.0,189.0,218.0,1216.0,2660.0,2850.0,2517.0,2314.0,2366.0,2330.0,2144.0,1031.0,1513.0,763.0,1245.0,1445.0,1137.0,964.0,1257.0,43770.0,66775.0,64953.0,56427.0,50759.0,39267.0,7728.0,1833.0,9044.0,11441.0,71.0,126.0,1470.0,11441.0,56368.0,566.0,716.0,135.0,89.0,832.0,491.0,3075.0,3000.0,72314.0,43049.0,1895.0,1333.0,1275.0,1133.0,1081.0,1163.0,772.0,1063.0,731.0,1931.0,2843.0,3229.0,2999.0,2352.0,2138.0,3359.0,67540.0,8978.0,0.4805,33223.0,1510.0,360400.0,753600.0,1042600.0,29297.0,18269.0,3926.0,1513.0,236.0,2101.0,3291.0,5543.0,2592.0,2879.0,1382.0,5250.0,10043.0,118.0,55.0,97.0,3642.0,0.0,12754.0,13037.0,16260.0,3485.0,52.0,58.0,12523.0,1628.0,1398.0,28.8,1006.0,4574.0,1228.0,791.0,1637.0,1674.0,2362.0,2349.0,1803.0,845.0,11028.0,2083.0,5637.0,1344.0,4542.0,4840.0,4045.0,2295.0,1575.0,134.0,41.0,795.0,158.0,137.0,1555.0,1504.0,1913.0,2115.0,795.0,2979.0,2713.0,11658.0,6683.0,31915.0,2831.0,1733.0,11181.0,13024.0,12177.0,3551.0,451.0,94.0,1451795.0,19422.0,3044.0,9199.0,1608.0,16050.0,7591.0,374.0,3089.0,14420.0,8164.0,1878.0,7612.0,4917.0,5991.0,9568.0,14420.0,21621.0,10896.0,9884.0,542.0,2319.0,1552.0,402.0,863.0,1984.0,1296.0,8958.0,34474.0,2093.0,36790.0,19637.0,33648.0,223.0,36567.0,9.0,3237.0,1697.0,9230.0,4221.0,1482.0,1265.0,1391.0,1794.0,3053.0,4796.0,1562.0,737.0,17980.0,1601.0,2273.0,7342.0,5278.0,17980.0,7342.0,2859.0,2591.0,2231.0,14031.0,3123.0
568,30093,Norcross,GA,1191.0,55107.0,17976.0,28779.0,26328.0,28.7,2745.0,2866.0,2217.0,1169.0,571.0,545.0,342.0,1410.0,3833.0,2988.0,2426.0,1485.0,2197.0,1307.0,975.0,227.0,307.0,270.0,179.0,61.0,91.0,2241.0,1989.0,2226.0,1108.0,637.0,402.0,390.0,1462.0,2959.0,2426.0,2633.0,1796.0,1558.0,1310.0,1149.0,420.0,430.0,244.0,226.0,357.0,192.0,93.0,80.0,5809.0,54036.0,52139.0,39974.0,32787.0,30460.0,18235.0,12937.0,5429.0,29384.0,62.0,75.0,1411.0,29384.0,25723.0,452.0,261.0,792.0,370.0,1571.0,479.0,646.0,371.0,41043.0,17659.0,944.0,926.0,1083.0,1402.0,1901.0,1154.0,1309.0,1156.0,1011.0,1996.0,1834.0,1602.0,910.0,297.0,357.0,94.0,54963.0,12863.0,0.3747,19723.0,1058.0,93500.0,126500.0,165400.0,17976.0,12426.0,1747.0,1052.0,41.0,6929.0,1807.0,558.0,945.0,2405.0,3906.0,1928.0,907.0,258.0,199.0,156.0,91.0,1986.0,6712.0,6350.0,11626.0,2967.0,71.0,17.0,16561.0,5339.0,873.0,34.9,311.0,3470.0,1590.0,969.0,1219.0,1459.0,1352.0,1135.0,723.0,198.0,5550.0,0.0,3920.0,5405.0,0.0,6111.0,3472.0,975.0,2414.0,75.0,8.0,2639.0,699.0,653.0,1927.0,2025.0,2772.0,2875.0,1564.0,4450.0,2328.0,3529.0,4841.0,26311.0,274.0,760.0,2130.0,1581.0,7747.0,6289.0,1526.0,833.0,866950.0,526.0,517.0,24893.0,5628.0,9.0,19265.0,5.0,1920.0,4183.0,8316.0,1364.0,1095.0,3961.0,10719.0,9114.0,4183.0,5179.0,1526.0,7245.0,313.0,479.0,225.0,1004.0,482.0,1733.0,811.0,5047.0,28398.0,1018.0,29450.0,10524.0,27071.0,34.0,29416.0,41.0,3230.0,6543.0,2163.0,1273.0,349.0,1759.0,2205.0,607.0,3595.0,3908.0,1765.0,960.0,4517.0,7257.0,3914.0,5549.0,7161.0,4517.0,5549.0,3846.0,3337.0,3193.0,15309.0,2449.0
1697,63115,Saint Louis,MO,651.0,18213.0,7519.0,7882.0,10331.0,40.6,631.0,377.0,747.0,339.0,230.0,181.0,175.0,193.0,648.0,243.0,465.0,387.0,645.0,450.0,636.0,143.0,170.0,232.0,251.0,96.0,174.0,543.0,574.0,637.0,393.0,288.0,72.0,167.0,519.0,599.0,445.0,486.0,704.0,692.0,657.0,665.0,281.0,434.0,227.0,437.0,392.0,484.0,256.0,379.0,128.0,18033.0,17476.0,14562.0,12147.0,8906.0,11.0,17873.0,11.0,109.0,9.0,0.0,67.0,109.0,18104.0,0.0,0.0,1083.0,1103.0,0.0,0.0,6.0,2.0,23951.0,14968.0,1547.0,1075.0,673.0,579.0,484.0,536.0,474.0,150.0,315.0,599.0,311.0,486.0,113.0,140.0,11.0,26.0,18148.0,6305.0,0.473,11894.0,776.0,36200.0,55900.0,74800.0,7519.0,3951.0,4375.0,351.0,213.0,6012.0,117.0,2865.0,2136.0,275.0,146.0,137.0,137.0,69.0,0.0,0.0,1414.0,0.0,1006.0,3526.0,3993.0,2804.0,0.0,13.0,4241.0,3026.0,516.0,49.2,443.0,1721.0,417.0,249.0,189.0,173.0,299.0,305.0,123.0,32.0,3568.0,0.0,1688.0,749.0,1655.0,1227.0,94.0,94.0,0.0,0.0,0.0,1133.0,281.0,281.0,259.0,546.0,935.0,1546.0,228.0,1046.0,341.0,742.0,253.0,5896.0,221.0,332.0,1122.0,2233.0,3775.0,1176.0,293.0,42.0,181855.0,1319.0,1308.0,4262.0,564.0,11.0,3698.0,34.0,644.0,1019.0,3355.0,954.0,514.0,2122.0,2830.0,3988.0,1019.0,1215.0,590.0,3720.0,205.0,37.0,96.0,102.0,324.0,957.0,479.0,2200.0,6345.0,1457.0,7802.0,6760.0,6228.0,0.0,7802.0,14.0,769.0,243.0,2248.0,343.0,34.0,685.0,275.0,319.0,417.0,583.0,339.0,76.0,1342.0,358.0,1178.0,1253.0,2214.0,1342.0,1253.0,934.0,1037.0,1146.0,4130.0,623.0
1240,60624,Chicago,IL,1348.0,36158.0,11831.0,16906.0,19252.0,30.7,1755.0,1571.0,1457.0,826.0,494.0,276.0,361.0,643.0,1558.0,948.0,904.0,1020.0,935.0,1226.0,871.0,186.0,379.0,310.0,243.0,119.0,119.0,1521.0,1568.0,1438.0,888.0,485.0,379.0,284.0,992.0,1271.0,1147.0,1303.0,1478.0,978.0,974.0,1161.0,423.0,396.0,262.0,455.0,497.0,566.0,443.0,343.0,989.0,35626.0,34177.0,26106.0,21220.0,17298.0,652.0,32677.0,113.0,1915.0,14.0,77.0,344.0,1915.0,34243.0,6.0,0.0,1986.0,1508.0,93.0,9.0,83.0,59.0,22992.0,13340.0,2874.0,1370.0,1056.0,993.0,800.0,625.0,444.0,394.0,400.0,634.0,750.0,760.0,339.0,155.0,171.0,66.0,35682.0,15769.0,0.53,15541.0,938.0,95600.0,164500.0,254800.0,11831.0,8942.0,3710.0,838.0,244.0,1639.0,361.0,5234.0,3913.0,1829.0,581.0,607.0,1351.0,26.0,59.0,167.0,1260.0,0.0,1841.0,4336.0,7495.0,6332.0,25.0,11.0,11024.0,8275.0,738.0,45.9,1151.0,3526.0,894.0,406.0,562.0,602.0,626.0,486.0,332.0,357.0,2889.0,25.0,1655.0,829.0,5079.0,3578.0,577.0,224.0,280.0,50.0,23.0,3001.0,365.0,232.0,378.0,813.0,681.0,1112.0,269.0,2449.0,838.0,1884.0,1626.0,10050.0,144.0,319.0,2862.0,5353.0,4388.0,1549.0,422.0,119.0,367110.0,3989.0,3385.0,5507.0,529.0,539.0,4978.0,768.0,1261.0,1263.0,6429.0,1124.0,489.0,4180.0,5547.0,7267.0,1263.0,1617.0,578.0,6565.0,316.0,131.0,39.0,270.0,850.0,1318.0,813.0,3737.0,10704.0,2398.0,13102.0,13004.0,10369.0,0.0,13102.0,23.0,1227.0,305.0,2976.0,641.0,143.0,823.0,376.0,301.0,1257.0,1087.0,1294.0,251.0,1860.0,421.0,2374.0,2762.0,3287.0,1860.0,2762.0,2533.0,2500.0,2234.0,10258.0,1265.0
